,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6),Effectidor
26,26,26,26,26,26,27,NP_459032.1,fimbrial chaparone,STM0027,bcfG,30478,31209,+,NC_003197.2,0,0,0,0
27,27,27,27,27,27,28,NP_459033.1,hypothetical protein,STM0028,bcfH,31274,32119,+,NC_003197.2,0,0,0,0
28,28,28,28,28,28,29,NP_459034.1,transcriptional regulator,STM0029,,32545,32994,-,NC_003197.2,0,0,0,0
29,29,29,29,29,29,30,NP_459035.1,putative LysR family transcriptional regulator,STM0030,,33364,34368,+,NC_003197.2,0,0,0,0
30,30,30,30,30,30,31,NP_459036.1,transcriptional regulator,STM0031,,34376,34816,-,NC_003197.2,0,0,0,0
31,31,31,31,31,31,32,NP_459037.1,putative arylsulfatase,STM0032,,35339,37057,+,NC_003197.2,0,0,0,0
32,32,32,32,32,32,33,NP_459038.1,"multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase",STM0033,,37103,38674,-,NC_003197.2,0,0,0,0
33,33,33,33,33,33,34,NP_459039.1,hypothetical protein,STM0034,,38773,39534,-,NC_003197.2,0,0,0,0
34,34,34,34,34,34,35,NP_459040.1,putative arylsulfatase,STM0035,,40131,41624,+,NC_003197.2,0,0,0,0
35,35,35,35,35,35,36,NP_459041.1,anaerobic sulfatase maturase,STM0036,,41723,42913,+,NC_003197.2,0,0,0,0
36,36,36,36,36,36,37,NP_459042.1,putative cytoplasmic protein,STM0037,,42932,44185,+,NC_003197.2,0,1,0,0
37,37,37,37,37,37,38,NP_459043.1,putative arylsulfatase,STM0038,,44312,46027,+,NC_003197.2,0,0,0,0
38,38,38,38,38,38,39,NP_459044.1,Na(+)/H(+) antiporter NhaA,STM0039,nhaA,46190,47356,+,NC_003197.2,0,0,0,0
39,39,39,39,39,39,40,NP_459045.1,transcriptional activator of nhaA,STM0040,nhaR,47418,48317,+,NC_003197.2,0,0,0,0
40,40,40,40,40,40,41,NP_459046.1,family 31 glucosidase,STM0041,,48372,50411,-,NC_003197.2,0,0,0,0
41,41,41,41,41,41,42,NP_459047.1,MFS transporter,STM0042,,50451,51824,-,NC_003197.2,0,0,0,0
42,42,42,42,42,42,43,NP_459048.1,30S ribosomal protein S20,STM0043,rpsT,52280,52543,-,NC_003197.2,0,0,0,0
43,43,43,43,43,43,44,NP_459049.1,hypothetical protein,STM0044,yaaY,52649,52864,+,NC_003197.2,0,0,0,0
44,44,44,44,44,44,45,NP_459050.1,riboflavin biosynthesis protein RibF,STM0045,ribF,52872,53810,+,NC_003197.2,0,0,0,0
45,45,45,45,45,45,46,NP_459051.1,isoleucine--tRNA ligase,STM0046,ileS,53855,56689,+,NC_003197.2,0,0,0,0
46,46,46,46,46,46,47,NP_459052.1,signal peptidase II,STM0047,lspA,56689,57189,+,NC_003197.2,0,0,0,0
47,47,47,47,47,47,48,NP_459053.1,peptidylprolyl isomerase,STM0048,slpA,57344,57793,+,NC_003197.2,0,0,0,0
48,48,48,48,48,48,49,NP_459054.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,STM0049,lytB,57796,58746,+,NC_003197.2,0,0,0,0
49,49,49,49,49,49,50,NP_459055.1,putative nitrite reductase,STM0050,,58946,60148,+,NC_003197.2,0,0,0,0
50,50,50,50,50,50,51,NP_459056.1,ribonucleoside hydrolase RihC,STM0051,rihC,60164,61084,+,NC_003197.2,0,0,0,0
51,51,51,51,51,51,52,NP_459057.1,response regulator,STM0052,,61106,61792,-,NC_003197.2,0,0,0,0
52,52,52,52,52,52,53,NP_459058.1,histidine kinase,STM0053,,61794,63413,-,NC_003197.2,0,0,0,0
53,53,53,53,53,53,54,NP_459059.1,oxaloacetate decarboxylase subunit beta,STM0054,,63548,64849,-,NC_003197.2,0,0,0,0
54,54,54,54,54,54,55,NP_459060.1,oxaloacetate decarboxylase subunit alpha,STM0055,,64862,66637,-,NC_003197.2,0,0,0,0
55,55,55,55,55,55,56,NP_459061.1,oxaloacetate decarboxylase subunit gamma,STM0056,,66654,66893,-,NC_003197.2,0,0,0,0
56,56,56,56,56,56,57,NP_459062.1,citrate:sodium symporter,STM0057,,67052,68392,-,NC_003197.2,0,0,0,0
57,57,57,57,57,57,58,NP_459063.1,putative citrate lyase synthetase,STM0058,citC2,68637,69680,+,NC_003197.2,0,0,0,0
58,58,58,58,58,58,59,NP_459064.1,citrate lyase acyl carrier protein,STM0059,citD2,69710,70003,+,NC_003197.2,0,0,0,0
59,59,59,59,59,59,60,NP_459065.1,citrate (pro-3S)-lyase subunit beta,STM0060,citE2,70000,70869,+,NC_003197.2,0,0,0,0
60,60,60,60,60,60,61,NP_459066.1,citrate lyase subunit alpha,STM0061,citF2,70880,72400,+,NC_003197.2,0,0,0,0
61,61,61,61,61,61,62,NP_459067.1,holo-ACP synthase CitX,STM0062,citX2,72400,72951,+,NC_003197.2,0,0,0,0
62,62,62,62,62,62,63,NP_459068.1,triphosphoribosyl-dephospho-CoA synthase CitG,STM0063,citG2,72929,73837,+,NC_003197.2,0,0,0,0
63,63,63,63,63,63,64,NP_459069.1,4-hydroxy-tetrahydrodipicolinate reductase,STM0064,dapB,74017,74838,+,NC_003197.2,0,0,0,0
64,64,64,64,64,64,65,NP_446529.1,putative viral protein,STM0065,,75088,75435,+,NC_003197.2,0,0,0,0
65,65,65,65,65,65,66,NP_459071.1,carbamoyl phosphate synthase small subunit,STM0066,carA,75880,77028,+,NC_003197.2,0,0,0,0
66,66,66,66,66,66,67,NP_459072.1,carbamoyl phosphate synthase large subunit,STM0067,carB,77047,80274,+,NC_003197.2,0,0,0,0
67,67,67,67,67,67,68,NP_459073.1,CaiF/GrlA family transcriptional regulator,STM0068,caiF,80548,80943,+,NC_003197.2,0,0,0,0
68,68,68,68,68,68,69,NP_459074.1,phenylacetic acid degradation protein PaaY,STM0069,caiE,81020,81616,-,NC_003197.2,0,0,0,0
69,69,69,69,69,69,70,NP_459075.1,carnitinyl-CoA dehydratase,STM0070,caiD,81725,82510,-,NC_003197.2,0,0,0,0
70,70,70,70,70,70,71,NP_459076.1,crotonobetaine/carnitine-CoA ligase,STM0071,caiC,82564,84117,-,NC_003197.2,0,0,0,0
71,71,71,71,71,71,72,NP_459077.1,L-carnitine CoA-transferase,STM0072,caiB,84180,85397,-,NC_003197.2,0,0,0,0
72,72,72,72,72,72,73,NP_459078.1,crotonobetainyl-CoA--carnitine CoA-transferase,STM0073,caiA,85509,86651,-,NC_003197.2,0,0,0,0
73,73,73,73,73,73,74,NP_459079.1,L-carnitine:gamma-butyrobetaine antiporter,STM0074,caiT,86686,88203,-,NC_003197.2,0,0,0,0
74,74,74,74,74,74,75,NP_459080.1,electron transfer flavoprotein,STM0075,fixA,88684,89454,+,NC_003197.2,0,0,0,0
75,75,75,75,75,75,76,NP_459081.1,nitrogen fixation protein FixB,STM0076,fixB,89470,90411,+,NC_003197.2,0,0,0,0
76,76,76,76,76,76,77,NP_459082.1,oxidoreductase,STM0077,fixC,90461,91747,+,NC_003197.2,0,0,0,0
77,77,77,77,77,77,78,NP_459083.1,ferredoxin family protein,STM0078,fixX,91744,92031,+,NC_003197.2,0,0,0,0
78,78,78,78,78,78,79,NP_459084.1,MFS transporter,STM0079,yaaU,92178,93518,+,NC_003197.2,0,0,0,0
79,79,79,79,79,79,80,NP_459085.1,hypothetical protein,STM0080,,93607,93837,+,NC_003197.2,0,0,0,0
80,80,80,80,80,80,81,NP_459086.1,hypothetical protein,STM0081,,94131,94547,+,NC_003197.2,0,0,0,0
81,81,81,81,81,81,82,NP_459087.1,hypothetical protein,STM0082,,94771,95061,-,NC_003197.2,0,0,0,0
82,82,82,82,82,82,83,NP_446547.1,hypothetical protein,STM0083,,95271,95465,+,NC_003197.2,0,0,0,0
83,83,83,83,83,83,84,NP_459089.1,phosphatase,STM0084,,95959,97848,+,NC_003197.2,0,0,0,0
84,84,84,84,84,84,85,NP_459090.1,glutathione-regulated potassium-efflux system ancillary protein KefF,STM0085,yabF,98255,98785,+,NC_003197.2,0,0,0,0
85,85,85,85,85,85,86,NP_459091.1,glutathione-regulated potassium-efflux system protein KefC,STM0086,kefC,98778,100640,+,NC_003197.2,0,0,0,0
86,86,86,86,86,86,87,NP_459092.1,dihydrofolate reductase,STM0087,folA,100839,101318,+,NC_003197.2,0,0,0,0
87,87,87,87,87,87,88,NP_459093.1,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),STM0088,apaH,101424,102272,-,NC_003197.2,0,0,0,0
88,88,88,88,88,88,89,NP_459094.1,Co2+/Mg2+ efflux protein ApaG,STM0089,apaG,102283,102660,-,NC_003197.2,0,0,0,0
89,89,89,89,89,89,90,NP_459095.1,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,STM0090,ksgA,102663,103484,-,NC_003197.2,0,0,0,0
90,90,90,90,90,90,91,NP_459096.1,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,STM0091,pdxA,103481,104470,-,NC_003197.2,0,0,0,0
91,91,91,91,91,91,92,NP_459097.1,peptidylprolyl isomerase SurA,STM0092,surA,104470,105756,-,NC_003197.2,0,0,0,0
92,92,92,92,92,92,93,NP_459098.1,LPS assembly protein LptD,STM0093,imp,105810,108170,-,NC_003197.2,0,0,0,0
93,93,93,93,93,93,94,NP_459099.1,molecular chaperone DjlA,STM0094,djlA,108424,109236,+,NC_003197.2,0,0,0,0
94,94,94,94,94,94,95,NP_459100.1,bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA,STM0095,rluA,109331,109990,-,NC_003197.2,0,0,0,0
95,95,95,95,95,95,96,NP_459101.1,RNA polymerase-binding ATPase,STM0096,hepA,110002,112908,-,NC_003197.2,0,0,0,0
96,96,96,96,96,96,97,NP_459102.1,DNA polymerase II,STM0097,polB,113082,115433,-,NC_003197.2,0,0,0,0
97,97,97,97,97,97,98,NP_459103.1,putative secreted protein,STM0098,,115477,116097,-,NC_003197.2,0,0,0,0
98,98,98,98,98,98,99,NP_446563.1,hypothetical protein,STM0099,,116299,116601,+,NC_003197.2,0,0,0,0
99,99,99,99,99,99,100,NP_459105.1,DUF4751 domain-containing protein,STM0100,,116816,117235,+,NC_003197.2,0,0,0,0
100,100,100,100,100,100,101,NP_459106.1,L-ribulose-5-phosphate 4-epimerase,STM0101,araD,117241,117936,-,NC_003197.2,0,0,0,0
101,101,101,101,101,101,102,NP_459107.1,L-arabinose isomerase,STM0102,araA,118077,119579,-,NC_003197.2,0,0,0,0
102,102,102,102,102,102,103,NP_459108.1,ribulokinase,STM0103,araB,119590,121299,-,NC_003197.2,0,0,0,0
103,103,103,103,103,103,104,NP_459109.1,DNA-binding transcriptional regulator AraC,STM0104,araC,121640,122485,+,NC_003197.2,0,0,0,0
104,104,104,104,104,104,105,NP_459110.1,hypothetical protein,STM0105,yabI,122604,123371,+,NC_003197.2,0,0,0,0
105,105,105,105,105,105,106,NP_459111.1,thiamine ABC transporter ATP-binding protein,STM0106,yabJ,123410,124117,-,NC_003197.2,0,0,0,0
106,106,106,106,106,106,107,NP_459112.1,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,STM0107,yabK,124101,125711,-,NC_003197.2,0,0,0,0
107,107,107,107,107,107,108,NP_459113.1,thiamine ABC transporter substrate binding subunit,STM0108,tbpA,125687,126670,-,NC_003197.2,0,0,0,0
108,108,108,108,108,108,109,NP_459114.1,transcriptional regulator SgrR,STM0109,yabN,126848,128506,-,NC_003197.2,0,0,0,0
109,109,109,109,109,109,110,NP_459115.1,3-isopropylmalate dehydratase small subunit,STM0110,leuD,129057,129662,-,NC_003197.2,0,0,0,0
110,110,110,110,110,110,111,NP_459116.1,3-isopropylmalate dehydratase large subunit,STM0111,leuC,129673,131073,-,NC_003197.2,0,0,0,0
111,111,111,111,111,111,112,NP_459117.1,3-isopropylmalate dehydrogenase,STM0112,leuB,131076,132167,-,NC_003197.2,0,0,0,0
112,112,112,112,112,112,113,NP_459118.1,2-isopropylmalate synthase,STM0113,leuA,132167,133738,-,NC_003197.2,0,0,0,0
113,113,113,113,113,113,114,NP_459119.1,leu operon leader peptide,STM0114,leuL,133826,133912,-,NC_003197.2,0,0,0,0
114,114,114,114,114,114,115,NP_459120.1,transcriptional regulator LeuO,STM0115,leuO,134569,135513,+,NC_003197.2,0,0,0,0
115,115,115,115,115,115,116,NP_459121.1,"valine sensitive acetolactate synthase III, large subunit",STM0116,ilvI,135898,137559,+,NC_003197.2,0,0,0,0
116,116,116,116,116,116,117,NP_459122.1,acetolactate synthase small subunit,STM0117,ilvH,137562,138053,+,NC_003197.2,0,0,0,0
117,117,117,117,117,117,118,NP_459123.1,DNA-binding transcriptional regulator FruR,STM0118,fruR,138337,139341,+,NC_003197.2,0,0,0,0
118,118,118,118,118,118,119,NP_459124.1,cell division/cell wall cluster transcriptional repressor MraZ,STM0119,yabB,139947,140405,+,NC_003197.2,0,0,0,0
119,119,119,119,119,119,120,NP_459125.1,16S rRNA (cytosine(1402)-N(4))-methyltransferase,STM0120,yabC,140407,141348,+,NC_003197.2,0,0,0,0
120,120,120,120,120,120,121,NP_459126.1,cell division protein FtsL,STM0121,ftsL,141345,141710,+,NC_003197.2,0,0,0,0
121,121,121,121,121,121,122,NP_459127.1,peptidoglycan glycosyltransferase FtsI,STM0122,ftsI,141726,143492,+,NC_003197.2,0,0,0,0
122,122,122,122,122,122,123,NP_459128.1,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",STM0123,murE,143479,144966,+,NC_003197.2,0,0,0,0
123,123,123,123,123,123,124,NP_459129.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,STM0124,murF,144963,146321,+,NC_003197.2,0,0,0,0
124,124,124,124,124,124,125,NP_459130.1,phospho-N-acetylmuramoyl-pentapeptide-transferase,STM0125,mraY,146315,147397,+,NC_003197.2,0,0,0,0
125,125,125,125,125,125,126,NP_459131.1,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,STM0126,murD,147400,148716,+,NC_003197.2,0,0,0,0
126,126,126,126,126,126,127,NP_459132.1,cell division protein FtsW,STM0127,ftsW,148716,149960,+,NC_003197.2,0,0,0,0
127,127,127,127,127,127,128,NP_459133.1,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,STM0128,murG,149957,151024,+,NC_003197.2,0,0,0,0
128,128,128,128,128,128,129,NP_459134.1,UDP-N-acetylmuramate--L-alanine ligase,STM0129,murC,151143,152618,+,NC_003197.2,0,0,0,0
129,129,129,129,129,129,130,NP_459135.1,D-alanine--D-alanine ligase,STM0130,ddlB,152611,153531,+,NC_003197.2,0,0,0,0
130,130,130,130,130,130,131,NP_459136.1,cell division protein FtsQ,STM0131,ftsQ,153533,154363,+,NC_003197.2,0,0,0,0
131,131,131,131,131,131,132,NP_459137.1,cell division protein FtsA,STM0132,ftsA,154360,155622,+,NC_003197.2,0,0,0,0
132,132,132,132,132,132,133,NP_459138.1,cell division protein FtsZ,STM0133,ftsZ,155683,156834,+,NC_003197.2,0,0,0,0
133,133,133,133,133,133,134,NP_459139.1,UDP-3-O-[3-hydroxymyristoyl,STM0134,lpxC,156935,157852,+,NC_003197.2,0,0,0,0
134,134,134,134,134,134,135,NP_459140.3,putative inner membrane protein,STM0135,yacA,158199,158627,+,NC_003197.2,0,0,0,0
135,135,135,135,135,135,136,NP_459141.1,preprotein translocase subunit SecA,STM0136,secA,158689,161394,+,NC_003197.2,0,0,0,0
136,136,136,136,136,136,137,NP_459142.1,8-oxo-dGTP diphosphatase,STM0137,mutT,161546,161941,+,NC_003197.2,0,0,0,0
137,137,137,137,137,137,138,NP_459143.1,DNA gyrase inhibitor YacG,STM0138,yacG,162263,162454,-,NC_003197.2,0,0,0,0
138,138,138,138,138,138,139,NP_459144.1,cell division protein ZapD,STM0139,yacF,162464,163207,-,NC_003197.2,0,1,1,0
139,139,139,139,139,139,140,NP_459145.1,dephospho-CoA kinase,STM0140,yacE,163207,163827,-,NC_003197.2,0,0,0,0
140,140,140,140,140,140,141,NP_459146.1,GMP reductase,STM0141,guaC,164053,165096,+,NC_003197.2,0,0,0,0
141,141,141,141,141,141,142,NP_459147.1,type IV pilin biogenesis protein,STM0142,hofC,165127,166329,-,NC_003197.2,0,0,0,0
142,142,142,142,142,142,143,NP_459148.1,type II secretion system protein GspE,STM0143,hofB,166319,167704,-,NC_003197.2,0,0,0,0
143,143,143,143,143,143,144,NP_459149.1,prepilin peptidase-dependent pilin,STM0144,ppdD,167714,168151,-,NC_003197.2,0,0,0,0
144,144,144,144,144,144,145,NP_459150.1,nicotinate-nucleotide diphosphorylase,STM0145,nadC,168373,169266,-,NC_003197.2,0,0,0,0
145,145,145,145,145,145,146,NP_459151.1,N-acetylmuramoyl-L-alanine amidase,STM0146,ampD,169354,169917,+,NC_003197.2,0,0,0,0
146,146,146,146,146,146,147,NP_459152.1,regulatory signaling modulator protein AmpE,STM0147,ampE,169914,170768,+,NC_003197.2,0,0,0,0
147,147,147,147,147,147,148,NP_459153.1,alpha-N-arabinofuranosidase,STM0148,,170860,171810,-,NC_003197.2,0,0,0,0
148,148,148,148,148,148,149,NP_459154.1,MFS transporter,STM0149,,171810,173216,-,NC_003197.2,0,0,0,0
149,149,149,149,149,149,150,NP_459155.1,APC family aromatic amino acid transporter,STM0150,aroP,173380,174753,-,NC_003197.2,0,0,0,0
150,150,150,150,150,150,151,NP_459156.1,transcriptional regulator PdhR,STM0151,pdhR,175316,176080,+,NC_003197.2,0,0,0,0
151,151,151,151,151,151,152,NP_459157.1,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",STM0152,aceE,176240,178903,+,NC_003197.2,0,0,0,0
152,152,152,152,152,152,153,NP_459158.2,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,STM0153,aceF,178918,180807,+,NC_003197.2,0,0,0,0
153,153,153,153,153,153,154,NP_459159.1,dihydrolipoyl dehydrogenase,STM0154,lpdA,181007,182431,+,NC_003197.2,0,0,0,0
154,154,154,154,154,154,155,NP_459160.1,hypothetical protein,STM0155,,182720,183004,+,NC_003197.2,0,0,0,0
155,155,155,155,155,155,156,NP_459161.1,hypothetical protein,STM0156,,183042,183833,-,NC_003197.2,0,0,0,0
156,156,156,156,156,156,157,NP_459162.2,hypothetical protein,STM0157,yacH,183846,185468,-,NC_003197.2,0,0,0,0
157,157,157,157,157,157,158,NP_459163.1,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,STM0158,acnB,185857,188454,+,NC_003197.2,0,0,0,0
158,158,158,158,158,158,159,NP_459164.1,putative restriction endonuclease,STM0159,,188515,189357,-,NC_003197.2,0,0,0,0
159,159,159,159,159,159,160,NP_459165.1,UPF0231 family protein,STM0160,yacL,189603,189965,+,NC_003197.2,0,0,0,0
160,160,160,160,160,160,161,NP_459166.1,2-keto-3-deoxygluconate permease,STM0161,kdgT,190200,191153,+,NC_003197.2,0,0,0,0
161,161,161,161,161,161,162,NP_459167.1,hypothetical protein,STM0162,,191150,192421,+,NC_003197.2,0,0,0,0
162,162,162,162,162,162,163,NP_459168.1,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,STM0163,,192411,193394,+,NC_003197.2,0,0,0,0
163,163,163,163,163,163,164,NP_459169.1,DeoR family transcriptional regulator,STM0164,,193404,194171,+,NC_003197.2,0,0,0,0
164,164,164,164,164,164,165,NP_459170.1,S-adenosylmethionine decarboxylase,STM0165,speD,194201,194995,-,NC_003197.2,0,0,0,0
165,165,165,165,165,165,166,NP_459171.1,putrescine aminopropyltransferase,STM0166,speE,195016,195876,-,NC_003197.2,0,0,0,0
166,166,166,166,166,166,167,NP_459172.1,hypothetical protein,STM0167,yacC,195983,196330,-,NC_003197.2,0,0,0,0
167,167,167,167,167,167,168,NP_459173.1,putative multicopper oxidase,STM0168,cueO,196532,198142,+,NC_003197.2,0,0,0,0
168,168,168,168,168,168,169,NP_459174.1,pyrroloquinoline quinone-dependent dehydrogenase,STM0169,gcd,198220,200610,-,NC_003197.2,0,0,0,0
169,169,169,169,169,169,170,NP_459175.1,hypoxanthine phosphoribosyltransferase,STM0170,hpt,200816,201352,+,NC_003197.2,0,0,0,0
170,170,170,170,170,170,171,NP_459176.1,carbonate dehydratase,STM0171,yadF,201410,202072,-,NC_003197.2,0,0,0,0
171,171,171,171,171,171,172,NP_459177.1,multidrug ABC transporter ATP-binding protein,STM0172,yadG,202181,203107,+,NC_003197.2,0,0,0,0
172,172,172,172,172,172,173,NP_459178.1,ABC transporter permease,STM0173,yadH,203104,203874,+,NC_003197.2,0,0,0,0
173,173,173,173,173,173,174,NP_459179.1,fimbrial protein StiH,STM0174,stiH,203991,205070,-,NC_003197.2,0,0,0,0
174,174,174,174,174,174,175,NP_459180.1,fimbrial assembly protein,STM0175,stiC,205079,207625,-,NC_003197.2,0,0,0,0
175,175,175,175,175,175,176,NP_459181.1,long polar fimbrial chaperone LpfB,STM0176,stiB,207652,208335,-,NC_003197.2,0,0,0,0
176,176,176,176,176,176,177,NP_459182.1,fimbrial protein StiA,STM0177,stiA,208383,208922,-,NC_003197.2,0,0,0,0
177,177,177,177,177,177,178,NP_459183.1,PTS sugar transporter subunit IIA,STM0178,yadI,209293,209733,+,NC_003197.2,0,0,0,0
178,178,178,178,178,178,179,NP_459184.1,hypothetical protein,STM0179,yadE,209795,211024,+,NC_003197.2,0,0,0,0
179,179,179,179,179,179,180,NP_459185.1,aspartate 1-decarboxylase,STM0180,panD,211031,211411,-,NC_003197.2,0,0,0,0
180,180,180,180,180,180,181,NP_459186.1,pantoate--beta-alanine ligase,STM0181,panC,211506,212360,-,NC_003197.2,0,0,0,0
181,181,181,181,181,181,182,NP_459187.1,3-methyl-2-oxobutanoate hydroxymethyltransferase,STM0182,panB,212486,213277,-,NC_003197.2,0,0,0,0
182,182,182,182,182,182,183,NP_459188.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,STM0183,folK,213398,213877,-,NC_003197.2,0,0,0,0
183,183,183,183,183,183,184,NP_459189.1,polynucleotide adenylyltransferase,STM0184,pcnB,213874,215292,-,NC_003197.2,0,0,0,0
184,184,184,184,184,184,185,NP_459190.3,putative glutamyl t-RNA synthetase,STM0185,yadB,215433,216374,-,NC_003197.2,0,0,0,0
185,185,185,185,185,185,186,NP_459191.1,RNA polymerase-binding protein DksA,STM0186,dksA,216398,216853,-,NC_003197.2,0,0,0,0
186,186,186,186,186,186,187,NP_459192.1,sugar fermentation stimulation protein SfsA,STM0187,sfsA,217030,217734,-,NC_003197.2,0,0,0,0
187,187,187,187,187,187,188,NP_459193.1,2'-5' RNA ligase,STM0188,ligT,217751,218281,-,NC_003197.2,0,1,0,0
188,188,188,188,188,188,189,NP_459194.1,ATP-dependent helicase,STM0189,hrpB,218309,220783,+,NC_003197.2,0,0,0,0
189,189,189,189,189,189,190,NP_459195.1,penicillin-binding protein 1B,STM0190,mrcB,220924,223446,+,NC_003197.2,0,0,0,0
190,190,190,190,190,190,191,NP_459196.1,ferrichrome porin FhuA,STM0191,fhuA,223739,225928,+,NC_003197.2,0,0,0,0
191,191,191,191,191,191,192,NP_459197.1,iron-hydroxamate transporter ATP-binding subunit,STM0192,fhuC,225977,226774,+,NC_003197.2,0,0,0,0
192,192,192,192,192,192,193,NP_459198.1,iron-hydroxamate transporter substrate-binding subunit,STM0193,fhuD,226774,227664,+,NC_003197.2,0,0,0,0
193,193,193,193,193,193,194,NP_459199.1,Fe3+-hydroxamate ABC transporter permease FhuB,STM0194,fhuB,227661,229718,+,NC_003197.2,0,0,0,0
194,194,194,194,194,194,195,NP_459200.1,fimbrial protein,STM0195,stfA,230658,231218,+,NC_003197.2,0,0,0,0
195,195,195,195,195,195,196,NP_459201.1,outer membrane usher protein,STM0196,stfC,231304,233961,+,NC_003197.2,0,0,0,0
196,196,196,196,196,196,197,NP_459202.1,fimbrial protein,STM0197,stfD,233979,234731,+,NC_003197.2,0,0,0,0
