id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6)
31,NP_248721.1,choline sulfatase,PA0031,betC,33000,34511,-,NC_002516.2,0,0,0
32,NP_248722.1,transcriptional regulator,PA0032,,34624,35538,+,NC_002516.2,0,0,0
33,YP_008719728.1,"DOPA 4,5-dioxygenase",PA0032a,,35549,35926,+,NC_002516.2,0,0,0
34,NP_248723.1,hypothetical protein,PA0033,,35905,36270,-,NC_002516.2,0,0,0
35,NP_248724.1,two-component response regulator,PA0034,,36278,36901,-,NC_002516.2,0,0,0
36,NP_248725.1,tryptophan synthase subunit alpha,PA0035,trpA,37087,37893,-,NC_002516.2,0,0,0
37,NP_248726.1,tryptophan synthase subunit beta,PA0036,trpB,37890,39098,-,NC_002516.2,0,0,0
38,NP_248727.1,HTH-type transcriptional regulator TrpI,PA0037,trpI,39202,40089,+,NC_002516.2,0,0,0
39,NP_248728.1,hypothetical protein,PA0038,,40190,40405,+,NC_002516.2,0,0,0
40,NP_248729.1,hypothetical protein,PA0039,,40589,40816,+,NC_002516.2,0,0,0
41,NP_248730.1,hypothetical protein,PA0040,,41113,42801,+,NC_002516.2,0,0,0
42,NP_248731.1,hemagglutinin,PA0041,,42914,53521,+,NC_002516.2,0,0,0
43,YP_008719729.1,transposase,PA0041a,,54121,54822,+,NC_002516.2,0,0,0
44,NP_248732.1,hypothetical protein,PA0042,,56546,56941,+,NC_002516.2,0,0,0
45,NP_248733.1,hypothetical protein,PA0043,,57212,58594,-,NC_002516.2,0,0,0
46,NP_248734.1,exoenzyme T,PA0044,exoT,58786,60159,+,NC_002516.2,0,0,0
47,NP_248735.1,hypothetical protein,PA0045,,60656,61342,+,NC_002516.2,0,0,0
48,NP_248736.1,hypothetical protein,PA0046,,61373,61726,+,NC_002516.2,0,0,0
49,NP_248737.1,hypothetical protein,PA0047,,61879,62388,+,NC_002516.2,0,0,0
50,NP_248738.1,transcriptional regulator,PA0048,,62403,62786,-,NC_002516.2,0,0,0
51,NP_248739.1,hypothetical protein,PA0049,,63068,64729,-,NC_002516.2,0,0,0
52,NP_248740.1,hypothetical protein,PA0050,,65339,65479,+,NC_002516.2,0,0,0
53,NP_248741.1,phenazine-modifying protein,PA0051,phzH,66303,68135,+,NC_002516.2,0,0,0
54,NP_248742.1,hypothetical protein,PA0052,,68188,68616,-,NC_002516.2,0,0,0
55,NP_248744.1,RNA 2'-phosphotransferase-like protein,PA0054,,69543,70091,-,NC_002516.2,0,0,0
56,NP_248745.1,hypothetical protein,PA0055,,70130,70636,-,NC_002516.2,0,0,0
57,NP_248746.1,transcriptional regulator,PA0056,,70702,71622,-,NC_002516.2,0,0,0
58,NP_248747.1,hypothetical protein,PA0057,,71730,72617,+,NC_002516.2,0,0,0
59,NP_248748.1,hypothetical protein,PA0058,,72680,73384,+,NC_002516.2,0,0,0
60,NP_248749.1,osmotically inducible protein OsmC,PA0059,osmC,73468,73923,+,NC_002516.2,0,0,0
61,NP_248750.1,hypothetical protein,PA0060,,74034,74267,+,NC_002516.2,0,0,0
62,NP_248751.1,hypothetical protein,PA0061,,74279,74716,-,NC_002516.2,0,0,0
63,NP_248752.1,hypothetical protein,PA0062,,74773,75189,-,NC_002516.2,0,0,0
64,NP_248753.1,hypothetical protein,PA0063,,75281,76408,+,NC_002516.2,0,0,0
65,NP_248754.1,hypothetical protein,PA0064,,76416,77399,-,NC_002516.2,0,0,0
66,NP_248755.1,5'-nucleotidase,PA0065,,77432,78097,-,NC_002516.2,0,0,0
67,NP_248756.1,hypothetical protein,PA0066,,78090,78632,-,NC_002516.2,0,0,0
68,NP_248757.1,oligopeptidase A,PA0067,prlC,78710,80755,+,NC_002516.2,0,0,0
69,NP_248758.1,hypothetical protein,PA0068,,80752,81027,+,NC_002516.2,0,0,0
70,NP_248759.1,hypothetical protein,PA0069,,81116,82174,+,NC_002516.2,0,0,0
71,NP_248760.1,hypothetical protein,PA0070,,82404,83318,-,NC_002516.2,0,0,0
72,NP_248761.1,hypothetical protein,PA0071,,83380,85092,-,NC_002516.2,0,0,0
73,NP_248762.1,hypothetical protein,PA0072,,85085,86284,-,NC_002516.2,0,0,0
74,NP_248763.1,ABC transporter ATP-binding protein,PA0073,,86284,87003,-,NC_002516.2,0,0,0
75,NP_248764.1,serine/threonine protein kinase PpkA,PA0074,ppkA,87000,90098,-,NC_002516.2,0,0,0
76,NP_248765.1,serine/threonine phosphatase,PA0075,pppA,90106,90834,-,NC_002516.2,0,0,0
77,NP_248766.1,hypothetical protein,PA0076,,90844,91524,-,NC_002516.2,0,0,0
78,NP_248767.1,type VI secretion protein IcmF,PA0077,icmF1,91521,94826,-,NC_002516.2,0,0,0
79,NP_248768.1,hypothetical protein,PA0078,,95048,96397,-,NC_002516.2,0,0,0
80,NP_248769.1,hypothetical protein,PA0079,,96404,97738,-,NC_002516.2,0,0,0
81,NP_248770.1,hypothetical protein,PA0080,,97754,98218,-,NC_002516.2,0,0,0
82,NP_248771.1,Fha domain-containing protein,PA0081,fha1,98263,99756,-,NC_002516.2,0,0,0
83,NP_248772.1,hypothetical protein,PA0082,,100124,101158,+,NC_002516.2,0,0,0
84,NP_248773.1,hypothetical protein,PA0083,,101247,101765,+,NC_002516.2,0,0,0
85,NP_248774.1,hypothetical protein,PA0084,,101778,103274,+,NC_002516.2,0,0,0
86,NP_248775.1,protein secretion apparatus assembly protein,PA0085,hcp1,103350,103838,+,NC_002516.2,1,1,1
87,NP_248776.1,hypothetical protein,PA0086,,104006,104851,+,NC_002516.2,0,0,0
88,NP_248777.1,hypothetical protein,PA0087,,104853,105362,+,NC_002516.2,0,0,0
89,NP_248778.1,hypothetical protein,PA0088,,105359,107218,+,NC_002516.2,0,0,0
90,NP_248779.1,hypothetical protein,PA0089,,107182,108228,+,NC_002516.2,0,0,0
91,NP_248780.1,secretion protein ClpV1,PA0090,clpV1,108221,110929,+,NC_002516.2,0,0,0
92,NP_248781.1,type VI secretion system protein VgrG,PA0091,vgrG1,110976,112907,+,NC_002516.2,1,1,1
93,NP_248782.1,hypothetical protein,PA0092,,113022,113306,-,NC_002516.2,0,0,0
94,NP_248783.1,hypothetical protein,PA0093,,113303,114595,-,NC_002516.2,1,1,1
95,NP_248784.1,hypothetical protein,PA0094,,114611,115045,-,NC_002516.2,0,0,0
96,NP_248785.1,hypothetical protein,PA0095,,115299,117524,+,NC_002516.2,1,1,1
97,NP_248786.1,hypothetical protein,PA0096,,117552,118001,+,NC_002516.2,0,1,1
98,NP_248787.1,hypothetical protein,PA0097,,117931,119130,+,NC_002516.2,0,1,1
99,NP_248788.1,3-oxoacyl-ACP synthase,PA0098,,119127,120164,+,NC_002516.2,0,0,0
100,NP_248789.1,hypothetical protein,PA0099,,120164,121324,+,NC_002516.2,1,1,1
101,NP_248790.1,hypothetical protein,PA0100,,121346,122266,+,NC_002516.2,0,1,0
102,NP_248791.1,hypothetical protein,PA0101,,122248,123495,+,NC_002516.2,0,0,0
103,NP_248792.1,carbonic anhydrase,PA0102,,123871,124599,+,NC_002516.2,0,0,0
104,NP_248793.1,sulfate transporter,PA0103,,124810,126381,+,NC_002516.2,0,0,0
105,YP_008719730.1,hypothetical protein,PA0103a,,126368,127006,-,NC_002516.2,0,0,0
106,NP_248795.1,cytochrome C oxidase subunit II,PA0105,coxB,127378,128502,+,NC_002516.2,0,0,0
107,NP_248796.1,cytochrome C oxidase subunit I,PA0106,coxA,128512,130104,+,NC_002516.2,0,0,0
108,NP_248797.1,cytochrome C oxidase assembly protein,PA0107,,130115,130669,+,NC_002516.2,0,0,0
109,NP_248798.1,cytochrome C oxidase subunit III,PA0108,coIII,130680,131567,+,NC_002516.2,0,0,0
110,NP_248799.1,hypothetical protein,PA0109,,131583,131792,-,NC_002516.2,0,0,0
111,NP_248800.1,hypothetical protein,PA0110,,131808,132602,+,NC_002516.2,0,0,0
112,NP_248801.1,hypothetical protein,PA0111,,132577,133155,+,NC_002516.2,0,0,0
113,NP_248802.1,hypothetical protein,PA0112,,133220,134293,+,NC_002516.2,0,0,0
114,NP_248803.1,protoheme IX farnesyltransferase,PA0113,,134319,135233,+,NC_002516.2,0,0,0
115,NP_248804.1,cytochrome c oxidase assembly protein SenC,PA0114,senC,135259,135894,+,NC_002516.2,0,0,0
116,NP_248805.1,hypothetical protein,PA0115,,135934,136386,-,NC_002516.2,0,0,0
117,NP_248806.1,hypothetical protein,PA0116,,136518,136991,+,NC_002516.2,0,0,0
118,NP_248807.1,short-chain dehydrogenase,PA0117,,137248,137976,+,NC_002516.2,0,0,0
119,NP_248808.1,hypothetical protein,PA0118,,138001,138588,+,NC_002516.2,0,0,0
120,NP_248809.1,C4-dicarboxylate transporter DctA,PA0119,,138818,140167,+,NC_002516.2,0,0,0
121,NP_248810.1,transcriptional regulator,PA0120,,140216,140902,+,NC_002516.2,0,0,0
122,NP_248811.1,hypothetical protein,PA0121,,141003,141737,+,NC_002516.2,0,0,0
123,NP_248812.1,hypothetical protein,PA0122,,141917,142327,+,NC_002516.2,0,1,1
124,NP_248813.1,transcriptional regulator,PA0123,,142359,143267,-,NC_002516.2,0,0,0
125,NP_248814.1,hypothetical protein,PA0124,,143567,143848,-,NC_002516.2,0,0,0
126,NP_248815.1,hypothetical protein,PA0125,,143845,144072,-,NC_002516.2,0,0,0
127,NP_248816.1,hypothetical protein,PA0126,,144248,144868,-,NC_002516.2,0,0,0
128,NP_248817.1,hypothetical protein,PA0127,,144969,145469,+,NC_002516.2,0,0,0
129,NP_248818.1,hypothetical protein,PA0128,,145542,145883,+,NC_002516.2,0,0,0
130,NP_248819.1,gamma-aminobutyrate permease,PA0129,gabP,145965,147392,-,NC_002516.2,0,0,0
131,NP_248820.1,3-oxopropanoate dehydrogenase,PA0130,,147561,149054,-,NC_002516.2,0,0,0
132,NP_248821.1,beta-alanine degradation protein BauB,PA0131,,149138,149425,-,NC_002516.2,0,0,0
133,NP_248822.1,beta alanine--pyruvate transaminase,PA0132,,149425,150771,-,NC_002516.2,0,0,0
134,NP_248823.1,HTH-type transcriptional activator BauR,PA0133,,150906,151823,+,NC_002516.2,0,0,0
135,NP_248824.1,guanine deaminase,PA0134,,151936,153306,-,NC_002516.2,0,0,0
136,NP_248825.1,hypothetical protein,PA0135,,153696,153836,+,NC_002516.2,0,0,0
137,NP_248826.1,ABC transporter ATP-binding protein,PA0136,,154417,155988,+,NC_002516.2,0,0,0
138,NP_248827.1,ABC transporter permease,PA0137,,155988,157085,+,NC_002516.2,0,0,0
139,NP_248828.1,ABC transporter permease,PA0138,,157108,158034,+,NC_002516.2,0,0,0
140,NP_248829.1,alkyl hydroperoxide reductase,PA0139,ahpC,158199,158762,+,NC_002516.2,0,0,0
141,NP_248830.1,alkyl hydroperoxide reductase,PA0140,ahpF,158907,160472,+,NC_002516.2,0,0,0
142,NP_248831.1,hypothetical protein,PA0141,,160552,161448,-,NC_002516.2,0,0,0
143,NP_248832.1,8-oxoguanine deaminase,PA0142,,161906,163255,+,NC_002516.2,0,0,0
144,NP_248833.2,nonspecific ribonucleoside hydrolase,PA0143,nuh,163363,164415,+,NC_002516.2,0,0,0
145,NP_248834.1,hypothetical protein,PA0144,,164443,165069,-,NC_002516.2,0,0,0
146,NP_248835.1,hypothetical protein,PA0145,,165219,165737,-,NC_002516.2,0,0,0
147,NP_248836.1,hypothetical protein,PA0146,,165976,167073,+,NC_002516.2,0,0,0
148,NP_248837.1,oxidoreductase,PA0147,,167146,168108,+,NC_002516.2,0,0,0
149,NP_248838.1,adenosine deaminase,PA0148,,168213,169163,+,NC_002516.2,0,0,0
150,NP_248839.1,ECF subfamily sigma-70 factor,PA0149,,169361,169906,+,NC_002516.2,0,0,0
151,NP_248840.1,transmembrane sensor,PA0150,,169903,170898,+,NC_002516.2,0,0,0
152,NP_248841.1,TonB-dependent receptor,PA0151,,171047,173434,+,NC_002516.2,0,0,0
153,NP_248842.1,transcriptional regulator PcaQ,PA0152,pcaQ,173811,174638,+,NC_002516.2,0,0,0
154,NP_248843.1,"protocatechuate 3,4-dioxygenase subunit beta",PA0153,pcaH,174773,175492,+,NC_002516.2,0,0,0
155,NP_248844.1,"protocatechuate 3,4-dioxygenase subunit alpha",PA0154,pcaG,175503,176108,+,NC_002516.2,0,0,0
156,NP_248845.1,transcriptional regulator PcaR,PA0155,pcaR,176315,177154,+,NC_002516.2,0,0,0
157,NP_248846.1,resistance-nodulation-cell division (RND) efflux membrane fusion protein,PA0156,,177307,178458,+,NC_002516.2,0,0,0
158,NP_248847.1,resistance-nodulation-cell division (RND) efflux membrane fusion protein,PA0157,,178455,179525,+,NC_002516.2,0,0,0
159,NP_248848.1,resistance-nodulation-cell division (RND) efflux transporter,PA0158,,179522,182569,+,NC_002516.2,0,0,0
160,NP_248849.1,transcriptional regulator,PA0159,,182768,183706,+,NC_002516.2,0,0,0
161,NP_248850.1,hypothetical protein,PA0160,,183822,184007,+,NC_002516.2,0,0,0
162,NP_248852.1,histidine porin OpdC,PA0162,opdC,184594,185928,+,NC_002516.2,0,0,0
163,NP_248853.1,transcriptional regulator,PA0163,,185957,186754,-,NC_002516.2,0,0,0
164,NP_248854.1,gamma-glutamyltranspeptidase,PA0164,,186832,188448,+,NC_002516.2,0,0,0
165,NP_248855.1,hypothetical protein,PA0165,,189120,189956,+,NC_002516.2,0,0,0
166,NP_248856.1,transporter,PA0166,,190198,191604,+,NC_002516.2,0,0,0
167,NP_248857.1,transcriptional regulator,PA0167,,191697,192362,+,NC_002516.2,0,0,0
168,NP_248858.1,hypothetical protein,PA0168,,192368,192958,+,NC_002516.2,0,0,0
169,NP_248859.1,hypothetical protein,PA0169,,192965,193672,-,NC_002516.2,0,0,0
170,NP_248860.1,hypothetical protein,PA0170,,193799,194179,-,NC_002516.2,0,0,0
171,NP_248861.1,hypothetical protein,PA0171,,194206,194748,-,NC_002516.2,0,0,0
172,NP_248862.1,hypothetical protein,PA0172,,194757,196748,-,NC_002516.2,0,0,0
173,NP_248863.1,chemotaxis response regulator protein-glutamate methylesterase,PA0173,,197011,198060,-,NC_002516.2,0,0,0
174,NP_248864.1,hypothetical protein,PA0174,,198080,198682,-,NC_002516.2,0,0,0
175,NP_248865.1,chemotaxis protein methyltransferase,PA0175,,198688,199530,-,NC_002516.2,0,0,0
176,NP_248866.1,aerotaxis transducer Aer2,PA0176,aer2,199600,201639,-,NC_002516.2,0,0,0
177,NP_248867.1,purine-binding chemotaxis protein,PA0177,,201675,202160,-,NC_002516.2,0,0,0
178,NP_248868.1,two-component sensor,PA0178,,202147,204066,-,NC_002516.2,0,0,0
179,NP_248869.1,two-component response regulator,PA0179,,204094,204459,-,NC_002516.2,0,0,0
180,NP_248870.1,trichloroethylene chemotactic transducer CttP,PA0180,cttP,204657,205829,-,NC_002516.2,0,0,0
181,NP_248871.1,transcriptional regulator,PA0181,,206022,206954,-,NC_002516.2,0,0,0
182,NP_248872.1,3-ketoacyl-ACP reductase,PA0182,,207071,207823,+,NC_002516.2,0,0,0
183,NP_248873.1,arylsulfatase,PA0183,atsA,207923,209533,-,NC_002516.2,0,0,0
184,NP_248874.1,ABC transporter ATP-binding protein,PA0184,,209621,210460,-,NC_002516.2,0,0,0
185,NP_248875.1,ABC transporter permease,PA0185,,210457,212073,-,NC_002516.2,0,0,0
186,NP_248876.1,ABC transporter,PA0186,,212340,213401,+,NC_002516.2,0,0,0
187,NP_248877.1,hypothetical protein,PA0187,,213819,214634,+,NC_002516.2,0,0,0
188,NP_248878.1,hypothetical protein,PA0188,,214631,215512,+,NC_002516.2,0,0,0
189,NP_248879.1,porin,PA0189,,215550,216908,-,NC_002516.2,0,0,0
190,NP_248880.1,acid phosphatase,PA0190,,217156,217881,+,NC_002516.2,0,0,0
191,NP_248881.1,transcriptional regulator,PA0191,,217905,218822,-,NC_002516.2,0,0,0
192,NP_248882.1,TonB-dependent receptor,PA0192,,219172,221544,+,NC_002516.2,0,0,0
193,NP_248883.1,hypothetical protein,PA0193,,221585,222487,+,NC_002516.2,0,0,0
194,NP_248884.1,hypothetical protein,PA0194,,222555,223454,+,NC_002516.2,0,0,0
195,NP_248885.1,NAD(P) transhydrogenase subunit alpha,PA0195,pntAA,224101,225219,+,NC_002516.2,0,0,0
196,NP_248886.2,NAD(P) transhydrogenase subunit alpha,PA0195.1,pntAB,225295,225603,+,NC_002516.2,0,0,0
197,NP_248887.1,pyridine nucleotide transhydrogenase subunit beta,PA0196,pntB,225603,227039,+,NC_002516.2,0,0,0
198,NP_248888.1,transporter TonB,PA0197,tonB2,227382,228194,+,NC_002516.2,0,0,0
199,NP_248889.1,transporter ExbB,PA0198,exbB1,228223,228942,+,NC_002516.2,0,0,0
200,NP_248890.1,biopolymer transport protein ExbD,PA0199,exbD1,228944,229345,+,NC_002516.2,0,0,0
201,NP_248891.1,hypothetical protein,PA0200,,229526,229738,-,NC_002516.2,0,0,0
202,NP_248892.1,hypothetical protein,PA0201,,229954,230535,+,NC_002516.2,0,0,0
203,NP_248893.1,amidase,PA0202,,230543,232000,-,NC_002516.2,0,0,0
204,NP_248894.1,ABC transporter,PA0203,,232066,233100,-,NC_002516.2,0,0,0
205,NP_248895.1,ABC transporter permease,PA0204,,233123,233932,-,NC_002516.2,0,0,0
206,NP_248896.1,ABC transporter permease,PA0205,,233929,234849,-,NC_002516.2,0,0,0
207,NP_248897.1,spermidine/putrescine ABC transporter ATP-binding protein,PA0206,,234875,235987,-,NC_002516.2,0,0,0
208,NP_248898.1,transcriptional regulator,PA0207,,236218,237111,+,NC_002516.2,0,0,0
209,NP_248899.1,malonate decarboxylase subunit alpha,PA0208,mdcA,237232,238896,+,NC_002516.2,0,0,0
210,NP_248900.1,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,PA0209,,238896,239777,+,NC_002516.2,0,0,0
211,NP_248901.1,malonate decarboxylase acyl carrier protein,PA0210,mdcC,239779,240078,+,NC_002516.2,0,0,0
212,NP_248902.1,malonate decarboxylase subunit beta,PA0211,mdcD,240071,240934,+,NC_002516.2,0,0,0
213,NP_248903.1,malonate decarboxylase subunit gamma,PA0212,mdcE,240931,241737,+,NC_002516.2,0,0,0
214,NP_248904.1,phosphoribosyl-dephospho-CoA transferase,PA0213,,241753,242445,+,NC_002516.2,0,0,0
215,NP_248905.1,acyl transferase,PA0214,,242442,243374,+,NC_002516.2,0,0,0
216,NP_248906.1,malonate transporter MadL,PA0215,,243431,243835,+,NC_002516.2,0,0,0
217,NP_248907.1,malonate transporter MadM,PA0216,,243841,244605,+,NC_002516.2,0,0,0
218,NP_248908.1,transcriptional regulator,PA0217,,244690,245619,-,NC_002516.2,0,0,0
219,NP_248909.1,transcriptional regulator,PA0218,,245948,246868,-,NC_002516.2,0,0,0
220,NP_248910.1,aldehyde dehydrogenase,PA0219,,247219,248709,+,NC_002516.2,0,0,0
221,NP_248911.1,amino acid APC family transporter,PA0220,,248767,250200,+,NC_002516.2,0,0,0
222,NP_248912.1,aminotransferase,PA0221,,250231,251613,+,NC_002516.2,0,0,0
223,NP_248913.1,hypothetical protein,PA0222,,251777,252835,+,NC_002516.2,0,0,0
224,NP_248914.1,dihydrodipicolinate synthetase,PA0223,,252913,253794,-,NC_002516.2,0,0,0
225,NP_248915.1,class II aldolase/adducin domain-containing protein,PA0224,,253854,254636,-,NC_002516.2,0,0,0
226,NP_248916.1,transcriptional regulator,PA0225,,254791,255330,+,NC_002516.2,0,0,0
227,NP_248917.1,CoA transferase subunit A,PA0226,,255481,256332,+,NC_002516.2,0,0,0
228,NP_248918.1,CoA transferase subunit B,PA0227,,256329,257111,+,NC_002516.2,0,0,0
229,NP_248919.1,beta-ketoadipyl CoA thiolase,PA0228,pcaF,257108,258313,+,NC_002516.2,0,0,0
230,NP_248920.1,dicarboxylic acid transporter PcaT,PA0229,pcaT,258463,259761,+,NC_002516.2,0,0,0
231,NP_248921.1,"3-carboxy-cis,cis-muconate cycloisomerase",PA0230,pcaB,259784,261163,+,NC_002516.2,0,0,0
232,NP_248922.1,3-oxoadipate enol-lactonase,PA0231,pcaD,261179,261970,+,NC_002516.2,0,0,0
233,NP_248923.1,4-carboxymuconolactone decarboxylase,PA0232,pcaC,261981,262382,+,NC_002516.2,0,0,0
234,NP_248924.1,transcriptional regulator,PA0233,,262557,263498,+,NC_002516.2,0,0,0
235,NP_248925.1,hypothetical protein,PA0234,,263689,264522,+,NC_002516.2,0,0,0
236,NP_248926.1,4-hydroxybenzoate transporter PcaK,PA0235,pcaK,264964,266310,-,NC_002516.2,0,0,0
237,NP_248927.1,transcriptional regulator,PA0236,,266616,267395,+,NC_002516.2,0,0,0
238,NP_248928.1,oxidoreductase,PA0237,,267638,268681,+,NC_002516.2,0,0,0
239,NP_248929.1,hypothetical protein,PA0238,,268704,269519,+,NC_002516.2,0,0,0
240,NP_248930.1,hypothetical protein,PA0239,,269669,270547,+,NC_002516.2,0,0,0
241,NP_248931.1,porin,PA0240,,270573,271838,-,NC_002516.2,0,0,0
242,NP_248932.1,major facilitator superfamily transporter,PA0241,,271904,273229,-,NC_002516.2,0,0,0
243,NP_248933.1,hypothetical protein,PA0242,,273775,275679,+,NC_002516.2,0,0,0
244,NP_248934.1,transcriptional regulator,PA0243,,275772,276440,+,NC_002516.2,0,0,0
245,NP_248935.1,shikimate 5-dehydrogenase,PA0244,,276480,277334,-,NC_002516.2,0,0,0
246,NP_248936.1,3-dehydroquinate dehydratase,PA0245,aroQ2,277331,277777,-,NC_002516.2,0,0,0
247,NP_248937.1,major facilitator superfamily transporter,PA0246,,277894,279399,-,NC_002516.2,0,0,0
248,NP_248938.1,4-hydroxybenzoate 3-monooxygenase,PA0247,pobA,279574,280758,-,NC_002516.2,0,0,0
249,NP_248939.1,transcriptional regulator,PA0248,,280936,281802,+,NC_002516.2,0,0,0
250,NP_248940.1,acetyltransferase,PA0249,,281799,282245,-,NC_002516.2,0,0,0
251,NP_248941.1,hypothetical protein,PA0250,,282323,282757,-,NC_002516.2,0,0,0
252,NP_248942.1,hypothetical protein,PA0251,,282912,283553,-,NC_002516.2,0,0,0
253,NP_248943.1,hypothetical protein,PA0252,,283818,284105,-,NC_002516.2,0,0,0
254,NP_248944.1,transcriptional regulator,PA0253,,284197,284673,-,NC_002516.2,0,0,0
255,NP_248945.1,hypothetical protein,PA0254,,284714,286204,-,NC_002516.2,0,0,0
256,NP_248946.1,hypothetical protein,PA0255,,286338,287024,-,NC_002516.2,0,0,0
257,NP_248947.1,hypothetical protein,PA0256,,287188,288120,-,NC_002516.2,0,1,1
258,NP_248948.1,hypothetical protein,PA0257,,288384,289175,-,NC_002516.2,0,0,0
259,NP_248949.1,hypothetical protein,PA0258,,289205,289390,-,NC_002516.2,0,0,0
260,NP_248950.1,hypothetical protein,PA0259,,289562,291004,-,NC_002516.2,0,0,0
261,NP_248951.1,hypothetical protein,PA0260,,291154,293304,-,NC_002516.2,1,1,1
262,NP_248952.1,hypothetical protein,PA0261,,293301,293798,-,NC_002516.2,0,0,0
263,NP_248953.1,hypothetical protein,PA0262,,293802,296861,-,NC_002516.2,1,1,1
264,NP_248954.1,secreted protein Hcp,PA0263,hcpC,297043,297561,-,NC_002516.2,1,1,1
265,NP_248956.1,glutarate-semialdehyde dehydrogenase DavD,PA0265,gabD,299522,300973,+,NC_002516.2,0,0,0
266,NP_248957.1,5-aminovalerate aminotransferase DavT,PA0266,,301218,302498,+,NC_002516.2,0,0,0
267,NP_248958.1,hypothetical protein,PA0267,,302824,304023,+,NC_002516.2,0,0,0
268,NP_248959.1,transcriptional regulator,PA0268,,304177,305598,-,NC_002516.2,0,0,0
269,NP_248960.1,hypothetical protein,PA0269,,305725,306162,+,NC_002516.2,0,0,0
270,NP_248961.1,hypothetical protein,PA0270,,306174,306581,+,NC_002516.2,0,0,0
271,NP_248962.1,hypothetical protein,PA0271,,306615,306899,+,NC_002516.2,0,0,0
272,NP_248963.1,transcriptional regulator,PA0272,,306896,307828,-,NC_002516.2,0,0,0
273,NP_248964.1,major facilitator superfamily transporter,PA0273,,307878,309092,-,NC_002516.2,0,0,0
274,NP_248965.1,hypothetical protein,PA0274,,309255,310025,-,NC_002516.2,0,0,0
275,NP_248966.1,transcriptional regulator,PA0275,,310134,310820,-,NC_002516.2,0,0,0
276,NP_248967.1,hypothetical protein,PA0276,,310896,311411,+,NC_002516.2,0,0,0
277,NP_248968.1,hypothetical protein,PA0277,,311451,312209,-,NC_002516.2,0,0,0
