,Unnamed: 0.1,Unnamed: 0,id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6),Effectidor
30,30,30,31,WP_011102955.1,TniQ family protein,PSPTO_RS00165,,36881,38767,+,NC_004578.1,0,0,0,0
31,31,31,32,WP_011102956.1,metallophosphoesterase family protein,PSPTO_RS00170,,39345,40082,+,NC_004578.1,0,0,0,0
32,32,32,33,WP_011102957.1,ParB N-terminal domain-containing protein,PSPTO_RS00175,,40884,41852,-,NC_004578.1,0,0,0,0
33,33,33,34,WP_011102958.1,ParB N-terminal domain-containing protein,PSPTO_RS00180,,41852,42757,-,NC_004578.1,0,0,0,0
34,34,34,35,WP_011102959.1,recombinase family protein,PSPTO_RS00185,,42754,44310,-,NC_004578.1,0,0,0,0
35,35,35,36,WP_003409202.1,IS66-like element ISPsy5 family transposase,PSPTO_RS00190,,45183,46736,-,NC_004578.1,0,0,0,0
36,36,36,37,WP_003409203.1,IS66 family insertion sequence element accessory protein TnpB,PSPTO_RS00195,tnpB,46754,47113,-,NC_004578.1,0,0,0,0
37,37,37,38,WP_011102960.1,DEAD/DEAH box helicase family protein,PSPTO_RS00200,,47448,52358,+,NC_004578.1,0,0,0,0
38,38,38,39,WP_011102961.1,DUF262 domain-containing HNH endonuclease family protein,PSPTO_RS00205,,52403,54493,+,NC_004578.1,0,0,0,0
39,39,39,40,WP_046463987.1,hypothetical protein,PSPTO_RS00210,,54637,54819,-,NC_004578.1,0,0,0,0
40,40,40,41,WP_003409202.1,IS66-like element ISPsy5 family transposase,PSPTO_RS00215,,54971,56524,-,NC_004578.1,0,0,0,0
41,41,41,42,WP_003409203.1,IS66 family insertion sequence element accessory protein TnpB,PSPTO_RS00220,tnpB,56542,56901,-,NC_004578.1,0,0,0,0
42,42,42,43,WP_164923170.1,hypothetical protein,PSPTO_RS00225,,56937,57080,-,NC_004578.1,0,0,0,1
43,43,43,45,WP_011102963.1,deaminase,PSPTO_RS00235,,58344,59906,+,NC_004578.1,0,0,0,0
44,44,44,46,WP_054070124.1,hypothetical protein,PSPTO_RS00240,,59945,60178,+,NC_004578.1,0,1,1,0
45,45,45,47,WP_226992674.1,hypothetical protein,PSPTO_RS30105,,60407,61189,-,NC_004578.1,0,1,1,1
46,46,46,49,WP_011102966.1,AAA family ATPase,PSPTO_RS00255,,62078,64063,+,NC_004578.1,0,0,0,0
47,47,47,50,WP_011102967.1,ATP-dependent helicase,PSPTO_RS00260,,64066,65970,+,NC_004578.1,0,0,0,0
48,48,48,51,WP_226992675.1,hypothetical protein,PSPTO_RS00265,,66192,66506,+,NC_004578.1,0,0,0,0
49,49,49,52,WP_193383851.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,PSPTO_RS30015,,66650,67051,+,NC_004578.1,0,0,0,0
50,50,50,53,WP_158502624.1,DUF2384 domain-containing protein,PSPTO_RS00275,,67041,67358,+,NC_004578.1,0,0,0,0
51,51,51,54,WP_011102968.1,three-Cys-motif partner protein TcmP,PSPTO_RS00280,tcmP,67445,68611,+,NC_004578.1,0,0,0,0
52,52,52,55,WP_011102969.1,phage Gp37/Gp68 family protein,PSPTO_RS00285,,68863,69606,+,NC_004578.1,0,0,0,0
53,53,53,56,WP_011102970.1,three-Cys-motif partner protein TcmP,PSPTO_RS00290,,69623,70954,+,NC_004578.1,0,0,0,0
54,54,54,57,WP_011102971.1,hypothetical protein,PSPTO_RS00295,,71041,71484,+,NC_004578.1,0,0,0,0
55,55,55,58,WP_011102972.1,hypothetical protein,PSPTO_RS00300,,71711,73480,+,NC_004578.1,0,0,0,0
56,56,56,59,WP_052507194.1,hypothetical protein,PSPTO_RS00305,,73641,74468,-,NC_004578.1,0,0,0,0
57,57,57,60,WP_159250468.1,hypothetical protein,PSPTO_RS00310,,75073,76002,-,NC_004578.1,0,0,0,0
58,58,58,61,WP_002551322.1,IS21-like element ISPsy4 family transposase,PSPTO_RS00315,istA,75949,76971,+,NC_004578.1,0,0,0,1
59,59,59,62,WP_005741073.1,IS21-like element ISPsy4 family helper ATPase IstB,PSPTO_RS00320,istB,76968,77777,+,NC_004578.1,0,0,0,0
60,60,60,63,WP_159229425.1,TniQ family protein,PSPTO_RS00325,,77803,78162,-,NC_004578.1,0,0,0,0
61,61,61,64,WP_011102975.1,TniB family NTP-binding protein,PSPTO_RS00330,,78120,79010,-,NC_004578.1,0,0,0,0
62,62,62,65,WP_044392641.1,DDE-type integrase/transposase/recombinase,PSPTO_RS00335,,79007,80935,-,NC_004578.1,0,0,0,0
63,63,63,66,WP_223862839.1,TnsA endonuclease N-terminal domain-containing protein,PSPTO_RS00340,,80922,81617,-,NC_004578.1,0,0,0,0
64,64,64,68,WP_005769591.1,type III effector,PSPTO_RS00350,,82500,83363,+,NC_004578.1,1,1,1,1
65,65,65,69,WP_005769588.1,CitMHS family transporter,PSPTO_RS00355,,83552,84859,-,NC_004578.1,0,0,0,0
66,66,66,70,WP_011102978.1,GFA family protein,PSPTO_RS00360,,85159,85557,+,NC_004578.1,0,0,0,0
67,67,67,71,WP_005769583.1,aminoacyl-tRNA deacylase and HDOD domain-containing protein,PSPTO_RS00365,,85784,87181,-,NC_004578.1,0,0,0,0
68,68,68,72,WP_011102979.1,ATP-dependent DNA helicase RecG,PSPTO_RS00370,recG,87268,89343,-,NC_004578.1,0,0,0,0
69,69,69,73,WP_005769579.1,hydrogen peroxide-inducible genes activator,PSPTO_RS00375,,89355,90278,-,NC_004578.1,0,0,0,0
70,70,70,74,WP_005613236.1,energy transducer TonB,PSPTO_RS00380,,90371,91117,-,NC_004578.1,0,0,0,0
71,71,71,75,WP_005613239.1,TonB system transport protein ExbD,PSPTO_RS00385,exbD,91114,91539,-,NC_004578.1,0,0,0,0
72,72,72,76,WP_007246518.1,tonB-system energizer ExbB,PSPTO_RS00390,exbB,91543,92499,-,NC_004578.1,0,0,0,0
73,73,73,77,WP_011102980.1,SDR family oxidoreductase,PSPTO_RS00395,,92710,93558,+,NC_004578.1,0,0,0,0
74,74,74,78,WP_003377974.1,lipoprotein,PSPTO_RS00400,,93607,94344,-,NC_004578.1,0,0,0,0
75,75,75,79,WP_011102981.1,RidA family protein,PSPTO_RS00405,,94399,94779,-,NC_004578.1,0,0,0,0
76,76,76,80,WP_005769571.1,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase",PSPTO_RS00410,spoT,94805,96910,-,NC_004578.1,0,0,0,0
77,77,77,81,WP_002551500.1,DNA-directed RNA polymerase subunit omega,PSPTO_RS00415,rpoZ,96971,97234,-,NC_004578.1,0,0,0,0
78,78,78,82,WP_003377979.1,guanylate kinase,PSPTO_RS00420,gmk,97382,98026,-,NC_004578.1,0,0,0,0
79,79,79,83,WP_007246513.1,YicC family protein,PSPTO_RS00425,,98040,98903,-,NC_004578.1,0,0,0,0
80,80,80,84,WP_005769567.1,ribonuclease PH,PSPTO_RS00430,rph,99223,99945,+,NC_004578.1,0,0,0,0
81,81,81,85,WP_005769565.1,DUF4870 domain-containing protein,PSPTO_RS00435,,99965,100333,+,NC_004578.1,0,0,0,0
82,82,82,86,WP_005613323.1,exodeoxyribonuclease III,PSPTO_RS00440,crc,100403,101182,-,NC_004578.1,0,0,0,0
83,83,83,87,WP_007246510.1,orotate phosphoribosyltransferase,PSPTO_RS00445,pyrE,101265,101906,+,NC_004578.1,0,0,0,0
84,84,84,88,WP_005769563.1,hypothetical protein,PSPTO_RS00450,,101917,102549,+,NC_004578.1,0,0,0,0
85,85,85,89,WP_002551508.1,acetylglutamate kinase,PSPTO_RS00460,argB,102801,103706,-,NC_004578.1,0,0,0,0
86,86,86,90,WP_011102983.1,phosphomannomutase/phosphoglucomutase,PSPTO_RS30110,,103735,105132,-,NC_004578.1,0,0,0,0
87,87,87,91,WP_011102984.1,dUTP diphosphatase,PSPTO_RS00470,dut,106375,106830,-,NC_004578.1,0,0,0,0
88,88,88,92,WP_046463702.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,PSPTO_RS00475,coaBC,106837,108045,-,NC_004578.1,0,0,0,0
89,89,89,93,WP_005769555.1,DNA repair protein RadC,PSPTO_RS00480,radC,108181,108855,+,NC_004578.1,0,0,0,0
90,90,90,94,WP_011102986.1,ABC transporter substrate-binding protein,PSPTO_RS00485,,108910,110496,-,NC_004578.1,0,0,0,0
91,91,91,95,WP_002551514.1,50S ribosomal protein L28,PSPTO_RS00490,rpmB,110860,111093,+,NC_004578.1,0,0,0,0
92,92,92,96,WP_002551515.1,50S ribosomal protein L33,PSPTO_RS00495,rpmG,111105,111260,+,NC_004578.1,0,0,0,0
93,93,93,97,WP_005769553.1,cupin domain-containing protein,PSPTO_RS00500,,111368,111733,-,NC_004578.1,0,0,0,0
94,94,94,98,WP_011102988.1,aldehyde dehydrogenase,PSPTO_RS00505,,111972,113465,+,NC_004578.1,0,0,0,0
95,95,95,99,WP_005769549.1,hypothetical protein,PSPTO_RS00510,,113528,113779,-,NC_004578.1,0,1,0,0
96,96,96,100,WP_005769547.1,MFS transporter,PSPTO_RS00515,,113892,115040,+,NC_004578.1,0,0,0,0
97,97,97,101,WP_010208311.1,phospholipase D family protein,PSPTO_RS00520,,115037,116617,-,NC_004578.1,0,0,0,0
98,98,98,102,WP_005769539.1,PLP-dependent aminotransferase family protein,PSPTO_RS00525,,116690,118111,-,NC_004578.1,0,0,0,0
99,99,99,103,WP_005769538.1,DUF1127 domain-containing protein,PSPTO_RS00530,,118287,118538,+,NC_004578.1,0,1,1,0
100,100,100,104,WP_005769536.1,FAD-binding oxidoreductase,PSPTO_RS00535,,118544,119857,-,NC_004578.1,0,0,0,0
101,101,101,105,WP_005769534.1,YkgJ family cysteine cluster protein,PSPTO_RS00540,,119963,120316,+,NC_004578.1,0,0,0,0
102,102,102,106,WP_004655323.1,Lrp/AsnC ligand binding domain-containing protein,PSPTO_RS00545,,120331,120819,-,NC_004578.1,0,0,0,0
103,103,103,107,WP_005769533.1,D-amino acid dehydrogenase,PSPTO_RS00550,dadA,120976,122277,+,NC_004578.1,0,0,0,0
104,104,104,108,WP_005769531.1,RidA family protein,PSPTO_RS00555,,122249,122602,+,NC_004578.1,0,0,0,0
105,105,105,109,WP_005769528.1,alanine racemase,PSPTO_RS00560,alr,122682,123755,+,NC_004578.1,0,0,0,0
106,106,106,110,WP_010208319.1,cupin domain-containing protein,PSPTO_RS00565,,123882,124430,+,NC_004578.1,0,0,0,0
107,107,107,111,WP_005769524.1,c-type cytochrome,PSPTO_RS00570,,124455,124778,+,NC_004578.1,0,0,0,0
108,108,108,112,WP_011102991.1,acetyl-CoA hydrolase/transferase family protein,PSPTO_RS00575,,124875,126806,+,NC_004578.1,0,0,0,0
109,109,109,113,WP_011102992.1,sulfite exporter TauE/SafE family protein,PSPTO_RS00580,,126885,127703,-,NC_004578.1,0,0,0,0
110,110,110,114,WP_011102993.1,NAD(P)/FAD-dependent oxidoreductase,PSPTO_RS00585,,127696,128949,-,NC_004578.1,0,0,0,0
111,111,111,115,WP_005769516.1,MBL fold metallo-hydrolase,PSPTO_RS00590,,128977,129861,-,NC_004578.1,0,0,0,0
112,112,112,116,WP_005769514.1,sigma-54-dependent Fis family transcriptional regulator,PSPTO_RS00595,,130125,131444,+,NC_004578.1,0,0,0,0
113,113,113,117,WP_003378039.1,xanthine phosphoribosyltransferase,PSPTO_RS00600,,131808,132377,-,NC_004578.1,0,0,0,0
114,114,114,118,WP_011102994.1,DNA helicase Rep,PSPTO_RS00605,rep,132432,134441,-,NC_004578.1,0,0,0,0
115,115,115,119,WP_007247222.1,bifunctional diguanylate cyclase/phosphodiesterase,PSPTO_RS00610,,134647,136311,+,NC_004578.1,0,1,1,0
116,116,116,120,WP_011102995.1,NorM family multidrug efflux MATE transporter,PSPTO_RS00615,,136326,137708,-,NC_004578.1,0,0,0,0
117,117,117,121,WP_005769505.1,LysR substrate-binding domain-containing protein,PSPTO_RS00620,,137865,138785,+,NC_004578.1,0,0,0,0
118,118,118,122,WP_005769504.1,methyl-accepting chemotaxis protein,PSPTO_RS00625,,138969,140945,+,NC_004578.1,0,0,0,0
119,119,119,123,WP_011102996.1,Na/Pi cotransporter family protein,PSPTO_RS00635,,141265,142917,+,NC_004578.1,0,0,0,0
120,120,120,124,WP_011102997.1,insulinase family protein,PSPTO_RS00640,,142975,144354,+,NC_004578.1,0,0,0,0
121,121,121,125,WP_011102998.1,DUF2914 domain-containing protein,PSPTO_RS00645,,144451,145638,+,NC_004578.1,0,0,0,0
122,122,122,126,WP_007247215.1,spore maturation protein,PSPTO_RS00650,,145643,146884,-,NC_004578.1,0,0,0,0
123,123,123,127,WP_149032136.1,IS3 family transposase,PSPTO_RS00660,,147445,147904,+,NC_004578.1,0,0,0,0
124,124,124,128,WP_011103000.1,argininosuccinate lyase,PSPTO_RS00670,argH,148983,150377,-,NC_004578.1,0,0,0,0
125,125,125,129,WP_007247213.1,sensor histidine kinase,PSPTO_RS00675,,150512,151594,+,NC_004578.1,0,0,0,0
126,126,126,130,WP_007247212.1,LytTR family DNA-binding domain-containing protein,PSPTO_RS00680,,151591,152337,+,NC_004578.1,0,0,0,0
127,127,127,131,WP_011103001.1,hydroxymethylbilane synthase,PSPTO_RS00685,hemC,152560,153501,+,NC_004578.1,0,0,0,0
128,128,128,132,WP_011103002.1,uroporphyrinogen-III synthase,PSPTO_RS00690,,153498,154274,+,NC_004578.1,0,0,0,0
129,129,129,133,WP_046463328.1,uroporphyrinogen-III C-methyltransferase,PSPTO_RS00695,,154325,155446,+,NC_004578.1,0,0,0,0
130,130,130,134,WP_011103004.1,heme biosynthesis protein HemY,PSPTO_RS00700,,155443,156687,+,NC_004578.1,0,0,0,0
131,131,131,135,WP_005769478.1,disulfide bond formation protein B,PSPTO_RS00705,,156902,157429,+,NC_004578.1,0,0,0,0
132,132,132,136,WP_005738602.1,Rsd/AlgQ family anti-sigma factor,PSPTO_RS00710,,157604,158077,+,NC_004578.1,0,0,0,0
133,133,133,137,WP_005769477.1,FKBP-type peptidyl-prolyl cis-trans isomerase,PSPTO_RS00715,,158162,158836,-,NC_004578.1,0,0,0,0
134,134,134,138,WP_011103006.1,AlgP family protein,PSPTO_RS00720,,159053,160009,+,NC_004578.1,0,1,1,0
135,135,135,139,WP_005769473.1,TIGR02444 family protein,PSPTO_RS00725,,160006,160494,-,NC_004578.1,0,0,0,0
136,136,136,140,WP_046463329.1,ATP-binding cassette domain-containing protein,PSPTO_RS00730,,160541,162451,+,NC_004578.1,0,0,0,0
137,137,137,141,WP_005769469.1,mechanosensitive ion channel family protein,PSPTO_RS00735,,162468,163061,+,NC_004578.1,0,0,0,0
138,138,138,142,WP_007247202.1,LysE family transporter,PSPTO_RS00740,,163128,163760,+,NC_004578.1,0,0,0,0
139,139,139,143,WP_011103008.1,cytochrome c/FTR1 family iron permease,PSPTO_RS00745,,163941,165839,+,NC_004578.1,0,0,0,0
140,140,140,144,WP_005769463.1,hypothetical protein,PSPTO_RS00750,,166054,166284,+,NC_004578.1,0,0,0,0
141,141,141,145,WP_005769461.1,YheV family putative metal-binding protein,PSPTO_RS00755,,166389,166676,-,NC_004578.1,0,0,0,0
142,142,142,146,WP_011103009.1,oligopeptidase A,PSPTO_RS00760,prlC,166673,168724,-,NC_004578.1,0,0,0,0
143,143,143,147,WP_011103010.1,gamma carbonic anhydrase family protein,PSPTO_RS00765,,168837,169382,+,NC_004578.1,0,0,0,0
144,144,144,148,WP_011103011.1,aminopeptidase,PSPTO_RS00775,,169523,170578,-,NC_004578.1,0,0,0,0
145,145,145,149,WP_011103012.1,DUF3592 domain-containing protein,PSPTO_RS00780,,170766,171197,+,NC_004578.1,0,0,0,0
146,146,146,150,WP_005768135.1,OPT/YSL family transporter,PSPTO_RS00785,,171406,173142,+,NC_004578.1,0,0,0,0
147,147,147,151,WP_005768136.1,hypothetical protein,PSPTO_RS00790,,173465,174133,+,NC_004578.1,0,0,0,0
148,148,148,152,WP_005768137.1,hypothetical protein,PSPTO_RS00795,,174242,174586,+,NC_004578.1,0,0,0,0
149,149,149,153,WP_003379415.1,DUF1161 domain-containing protein,PSPTO_RS00800,,174587,174820,-,NC_004578.1,0,0,0,0
150,150,150,154,WP_005768138.1,OsmC family protein,PSPTO_RS00805,,174938,175369,-,NC_004578.1,0,0,0,0
151,151,151,155,WP_005768139.1,LLM class flavin-dependent oxidoreductase,PSPTO_RS00810,,175580,176581,+,NC_004578.1,0,0,0,0
152,152,152,156,WP_003379418.1,DUF1161 domain-containing protein,PSPTO_RS00815,,176728,176952,-,NC_004578.1,0,0,0,0
153,153,153,157,WP_005613459.1,dodecin family protein,PSPTO_RS00820,,177102,177317,-,NC_004578.1,0,0,0,0
154,154,154,158,WP_005768141.1,DUF883 family protein,PSPTO_RS00825,,177485,177811,+,NC_004578.1,0,0,0,0
155,155,155,159,WP_011103013.1,LysR family transcriptional regulator,PSPTO_RS00830,,177812,178720,-,NC_004578.1,0,0,0,0
156,156,156,160,WP_005768143.1,tryptophan synthase subunit beta,PSPTO_RS00835,trpB,178848,180077,+,NC_004578.1,0,0,0,0
157,157,157,161,WP_011103014.1,tryptophan synthase subunit alpha,PSPTO_RS00840,trpA,180074,180886,+,NC_004578.1,0,0,0,0
158,158,158,162,WP_005768144.1,RcnB family protein,PSPTO_RS00845,,181013,181528,+,NC_004578.1,0,0,0,1
159,159,159,163,WP_005768145.1,alpha/beta fold hydrolase,PSPTO_RS00855,,181714,182538,-,NC_004578.1,0,0,0,0
160,160,160,164,WP_005738577.1,"DOPA 4,5-dioxygenase family protein",PSPTO_RS00860,,182751,183083,-,NC_004578.1,0,0,0,0
161,161,161,165,WP_193383852.1,hypothetical protein,PSPTO_RS00865,,183510,183848,+,NC_004578.1,0,0,0,0
162,162,162,166,WP_005768148.1,LysR family transcriptional regulator,PSPTO_RS00870,,183857,184807,-,NC_004578.1,0,0,0,0
163,163,163,167,WP_005768150.1,choline-sulfatase,PSPTO_RS00875,betC,184922,186427,+,NC_004578.1,0,0,0,0
164,164,164,168,WP_011103015.1,choline ABC transporter substrate-binding protein,PSPTO_RS00880,,186464,187390,+,NC_004578.1,0,0,0,0
165,165,165,169,WP_005768154.1,hypothetical protein,PSPTO_RS00885,,187557,187874,+,NC_004578.1,0,0,0,0
166,166,166,170,WP_011103017.1,SulP family inorganic anion transporter,PSPTO_RS00890,,187946,189514,+,NC_004578.1,0,0,0,0
167,167,167,171,WP_011103018.1,shikimate dehydrogenase,PSPTO_RS00895,aroE,189618,190442,-,NC_004578.1,0,0,0,0
168,168,168,172,WP_005768167.1,oxygen-dependent coproporphyrinogen oxidase,PSPTO_RS00900,hemF,190442,191356,-,NC_004578.1,0,0,0,0
169,169,169,173,WP_011103019.1,hypothetical protein,PSPTO_RS00905,,191660,192508,+,NC_004578.1,0,0,0,0
170,170,170,174,WP_007247571.1,IS5 family transposase,PSPTO_RS00910,,192549,193526,+,NC_004578.1,0,0,0,0
171,171,171,175,WP_046463632.1,DUF3630 family protein,PSPTO_RS00915,,194087,194407,+,NC_004578.1,0,0,0,0
172,172,172,176,WP_011103021.1,NADPH:quinone reductase,PSPTO_RS00920,,194503,195480,+,NC_004578.1,0,0,0,0
173,173,173,177,WP_011103022.1,Sua5/YciO/YrdC/YwlC family protein,PSPTO_RS00925,,195488,196045,-,NC_004578.1,0,0,0,0
174,174,174,178,WP_046463633.1,DNA-processing protein DprA,PSPTO_RS00930,dprA,196084,197199,-,NC_004578.1,0,0,0,0
175,175,175,179,WP_011103024.1,LysM peptidoglycan-binding domain-containing protein,PSPTO_RS00935,,197323,198348,-,NC_004578.1,0,0,0,0
176,176,176,180,WP_005768180.1,peptide deformylase,PSPTO_RS00940,def,198474,198980,+,NC_004578.1,0,0,0,0
177,177,177,181,WP_005768186.1,methionyl-tRNA formyltransferase,PSPTO_RS00945,fmt,199041,199985,+,NC_004578.1,0,0,0,0
178,178,178,182,WP_011103025.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,PSPTO_RS00950,rsmB,199982,201328,+,NC_004578.1,0,0,0,0
179,179,179,183,WP_005768190.1,Trk system potassium transporter TrkA,PSPTO_RS00955,trkA,201325,202698,+,NC_004578.1,0,0,0,0
180,180,180,184,WP_057443166.1,FdhF/YdeP family oxidoreductase,PSPTO_RS00960,,202841,205195,+,NC_004578.1,0,0,0,0
181,181,181,185,WP_005768197.1,lysophospholipid acyltransferase,PSPTO_RS00965,,205278,206165,-,NC_004578.1,0,0,0,0
182,182,182,186,WP_011103027.1,DNA-3-methyladenine glycosylase I,PSPTO_RS00970,,206203,206754,-,NC_004578.1,0,0,0,0
183,183,183,187,WP_003379468.1,glycine--tRNA ligase subunit alpha,PSPTO_RS00975,glyQ,206834,207781,+,NC_004578.1,0,0,0,0
184,184,184,188,WP_011103028.1,glycine--tRNA ligase subunit beta,PSPTO_RS00980,glyS,207778,209832,+,NC_004578.1,0,0,0,0
185,185,185,189,WP_011103029.1,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",PSPTO_RS00985,gmhB,209846,210397,+,NC_004578.1,0,0,0,0
186,186,186,190,WP_005768204.1,1-acyl-sn-glycerol-3-phosphate acyltransferase,PSPTO_RS00990,,210455,211225,+,NC_004578.1,0,0,0,0
187,187,187,192,WP_005768207.1,carbon-nitrogen hydrolase family protein,PSPTO_RS01000,,212501,213511,+,NC_004578.1,0,0,0,0
188,188,188,193,WP_005768208.1,phenylacetaldoxime dehydratase family protein,PSPTO_RS30115,,213513,214433,+,NC_004578.1,0,1,1,0
189,189,189,194,WP_226992712.1,transporter,PSPTO_RS30120,,214430,214963,+,NC_004578.1,0,0,0,0
190,190,190,195,WP_046463635.1,hypothetical protein,PSPTO_RS30020,,215027,215323,-,NC_004578.1,0,0,0,1
191,191,191,196,WP_011102959.1,recombinase family protein,PSPTO_RS01015,,215807,217363,+,NC_004578.1,0,0,0,0
192,192,192,197,WP_005741073.1,IS21-like element ISPsy4 family helper ATPase IstB,PSPTO_RS01020,istB,217450,218259,-,NC_004578.1,0,0,0,0
193,193,193,198,WP_002551322.1,IS21-like element ISPsy4 family transposase,PSPTO_RS01025,istA,218256,219278,-,NC_004578.1,0,0,0,1
194,194,194,199,WP_003409202.1,IS66-like element ISPsy5 family transposase,PSPTO_RS01030,,219554,221107,-,NC_004578.1,0,0,0,0
195,195,195,200,WP_003409203.1,IS66 family insertion sequence element accessory protein TnpB,PSPTO_RS01035,tnpB,221125,221484,-,NC_004578.1,0,0,0,0
196,196,196,201,WP_226992676.1,IS66 family insertion sequence element accessory protein TnpB,PSPTO_RS01040,tnpB,221520,221855,-,NC_004578.1,0,0,0,0
197,197,197,203,WP_005768549.1,ATP-grasp domain-containing protein,PSPTO_RS01050,,222528,223745,-,NC_004578.1,0,0,0,0
198,198,198,204,WP_147463982.1,GNAT family N-acetyltransferase,PSPTO_RS01055,,223760,224494,-,NC_004578.1,0,1,1,1
199,199,199,205,WP_005768548.1,hypothetical protein,PSPTO_RS01060,,224484,225383,-,NC_004578.1,0,0,0,0
200,200,200,206,WP_005768545.1,MFS transporter,PSPTO_RS01065,,225386,226549,-,NC_004578.1,0,0,0,0
201,201,201,207,WP_005768541.1,cysteine synthase family protein,PSPTO_RS01070,,226554,227672,-,NC_004578.1,0,0,0,0
202,202,202,208,WP_146230918.1,ParB N-terminal domain-containing protein,PSPTO_RS01075,,227964,228218,-,NC_004578.1,0,0,0,0
203,203,203,210,WP_080898741.1,Tn3 family transposase,PSPTO_RS30125,,229773,230027,-,NC_004578.1,0,0,0,1
