assembly,TXSS/T1SS,TXSS/T2SS,TXSS/T3SS,TXSS/T4SS,TXSS/T6SS,Genome Name,Phylum,Class,Order,Family,Genus,Species,Assembly Accession,CDS
GCA_000012325,3,1,0,0,0,Colwellia psychrerythraea 34H,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea,GCA_000012325.1,4610
GCA_000012365,2,1,2,0,5,Burkholderia thailandensis E264,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia thailandensis,GCA_000012365.1,6231
GCA_000012385,1,0,0,0,0,Rickettsia bellii RML369-C,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia bellii,GCA_000012385.1,1612
GCA_000012425,1,0,0,0,1,Dechloromonas aromatica RCB,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas aromatica,GCA_000012425.1,4192
GCA_000012445,3,1,0,0,1,Pseudomonas fluorescens Pf0-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,GCA_000012445.1,5763
GCA_000012485,1,0,0,0,0,Chlorobium luteolum DSM 273,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,Pelodictyon luteolum,GCA_000012485.1,2214
GCA_000012505,2,0,0,0,0,Synechococcus sp. CC9902,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9902,GCA_000012505.1,2561
GCA_000012525,2,0,0,0,0,Synechococcus elongatus PCC 7942,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,GCA_000012525.1,2915
GCA_000012605,1,1,0,0,0,Thiomicrospira crunogena XCL-2,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio crunogenus,GCA_000012605.1,2296
GCA_000012625,1,0,0,0,0,Synechococcus sp. CC9605,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9605,GCA_000012625.1,2858
GCA_000012665,1,0,0,0,0,Desulfovibrio alaskensis G20,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Oleidesulfovibrio,Oleidesulfovibrio alaskensis,GCA_000012665.1,3671
GCA_000012685,0,0,2,0,1,Myxococcus xanthus DK 1622,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,GCA_000012685.1,7378
GCA_000012725,2,0,0,0,0,Nitrobacter winogradskyi Nb-255,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi,GCA_000012725.1,3552
GCA_000012805,1,0,0,0,0,Nitrosococcus oceani ATCC 19707,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus oceani,GCA_000012805.1,3571
GCA_000012845,2,0,0,0,0,Parabacteroides distasonis ATCC 8503,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,GCA_000012845.1,3914
GCA_000012885,0,0,0,0,1,Pelobacter carbinolicus DSM 2380,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Syntrophotalea carbinolica,GCA_000012885.1,3383
GCA_000012905,0,0,0,0,1,Rhodobacter sphaeroides 2.4.1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter sphaeroides,GCA_000012905.2,4395
GCA_000012925,0,1,0,0,1,Geobacter metallireducens GS-15,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter metallireducens,GCA_000012925.1,3608
GCA_000012965,2,0,0,0,0,Sulfurimonas denitrificans DSM 1251,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,Sulfurimonas denitrificans,GCA_000012965.1,2185
GCA_000012985,1,1,2,0,1,Hahella chejuensis KCTC 2396,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis,GCA_000012985.1,6451
GCA_000013005,0,0,0,1,0,Erythrobacter litoralis HTCC2594,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis,GCA_000013005.1,3011
GCA_000013025,0,1,0,0,0,Hyphomonas neptunium ATCC 15444,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas neptunium,GCA_000013025.1,3573
GCA_000013165,0,0,0,1,0,Neorickettsia sennetsu str. Miyayama,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia,Neorickettsia sennetsu,GCA_000013165.1,868
GCA_000013325,1,1,0,1,0,Novosphingobium aromaticivorans DSM 12444,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium aromaticivorans,GCA_000013325.1,4054
GCA_000013365,3,0,0,0,0,Rhodopseudomonas palustris HaA2,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,GCA_000013365.1,4921
GCA_000013385,0,0,1,0,0,Anaeromyxobacter dehalogenans 2CP-C,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans,GCA_000013385.1,4461
GCA_000013565,1,0,0,0,1,Jannaschia sp. CCS1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Jannaschia,Jannaschia sp. CCS1,GCA_000013565.1,4427
GCA_000013605,1,1,0,1,0,Rhodoferax ferrireducens T118,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens,GCA_000013605.1,4672
GCA_000013625,1,0,0,0,0,Janthinobacterium sp. Marseille,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. Marseille,GCA_000013625.1,3728
GCA_000013645,3,1,1,3,1,Burkholderia xenovorans LB400,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia xenovorans,GCA_000013645.1,9140
GCA_000013665,1,1,0,0,1,Saccharophagus degradans 2-40,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus degradans,GCA_000013665.1,4328
GCA_000013705,3,0,0,0,0,Methylobacillus flagellatus KT,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,GCA_000013705.1,2896
GCA_000013745,1,0,0,2,0,Rhodopseudomonas palustris BisB18,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,GCA_000013745.1,5061
GCA_000013765,2,1,0,0,0,Shewanella denitrificans OS217,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella denitrificans,GCA_000013765.1,3963
GCA_000013785,0,1,0,0,0,Pseudomonas stutzeri A1501,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,GCA_000013785.1,4203
GCA_000013865,2,1,0,2,0,Polaromonas sp. JS666,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. JS666,GCA_000013865.1,5596
GCA_000013885,4,0,0,2,0,Nitrobacter hamburgensis X14,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter hamburgensis,GCA_000013885.1,5126
GCA_000013905,0,1,0,0,0,Psychrobacter cryohalolentis K5,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter cryohalolentis,GCA_000013905.1,2610
GCA_000013985,0,1,0,2,0,Sphingopyxis alaskensis RB2256,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,GCA_000013985.1,3282
GCA_000014025,1,0,0,0,0,Arcobacter butzleri RM4018,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter butzleri,GCA_000014025.1,2275
GCA_000014045,4,0,0,1,0,Roseobacter denitrificans OCh 114,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter denitrificans,GCA_000014045.1,4246
GCA_000014065,2,0,0,1,0,Ruegeria sp. TM1040,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. TM1040,GCA_000014065.1,3981
GCA_000014225,1,1,0,0,0,Pseudoalteromonas atlantica T6c,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica,GCA_000014225.1,4593
GCA_000014245,3,0,1,5,0,Chelativorans sp. BNC1,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Chelativorans,Chelativorans sp. BNC1,GCA_000014245.1,4899
GCA_000014265,1,0,0,0,0,Trichodesmium erythraeum IMS101,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum,GCA_000014265.1,6500
GCA_000014285,1,0,0,0,0,Granulibacter bethesdensis CGDNIH1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,GCA_000014285.1,2532
GCA_000014345,1,0,0,0,0,Rickettsia canadensis str. McKiel,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia canadensis,GCA_000014345.1,1230
GCA_000014585,2,0,0,0,0,Synechococcus sp. CC9311,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9311,GCA_000014585.1,3058
GCA_000014645,0,0,0,0,1,Francisella novicida U112,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,GCA_000014645.1,1821
GCA_000014665,1,1,0,0,0,Shewanella sp. MR-7,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-7,GCA_000014665.1,4147
GCA_000014685,1,1,0,0,0,Shewanella sp. MR-4,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MR-4,GCA_000014685.1,4086
GCA_000014705,1,1,0,0,1,Shewanella frigidimarina NCIMB 400,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella frigidimarina,GCA_000014705.1,4210
GCA_000014745,1,1,0,0,0,Maricaulis maris MCS10,Proteobacteria,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,Maricaulis maris,GCA_000014745.1,3163
GCA_000014765,0,0,0,2,0,Nitrosomonas eutropha C91,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas eutropha,GCA_000014765.1,3050
GCA_000014785,1,1,0,0,1,Alkalilimnicola ehrlichii MLHE-1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii,GCA_000014785.1,2879
