Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1006551.4","Klebsiella oxytoca KCTC 1686",,1006551,"131567;2;1224;1236;91347;543;2890311;570;1134687;1006551","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella michiganensis;Klebsiella michiganensis KCTC 1686","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Complete","KCTC 1686",,,,"MLST.Klebsiella_oxytoca.28",,,,,,,,,,,,,,,,"Good","2011-12-29T00:00:00Z",,,"PRJNA65523","SAMN02603580","GCA_000240325.1",,"CP003218",,"unfinished",,,,,,1,,56.05,1,5974109,84,25,,5553,99.5,99,0.9,100,,,,,,,,,,,,,,,,,,,,,"Source DNA available from Dr Kap-Seok Yang  (ksyang@macrogen.com) at Macrogen Inc.","2014-12-08T22:11:48.653Z","2015-03-16T03:17:09.594Z"
"1007105.3","Pusillimonas sp. T7-7",,1007105,"131567;2;1224;28216;80840;506;305976;2640016;1007105","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pusillimonas (ex Stolz et al. 2005);unclassified Pusillimonas;Pusillimonas sp. T7-7","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas (ex Stolz et al. 2005)","Pusillimonas sp. T7-7","Complete","T7-7",,,,,,,,,,,,,,,,,,,,"Good","2011-04-26T00:00:00Z",,,"PRJNA65659","SAMN02603906","GCA_000209655.1",,"CP002663,CP002664",,"complete",,,,,1,2,,56.91,1,3883605,47,6,,3706,99.6,99.2,,94.9,,,,,,,,,,,,,,,,,,,,,"This organism will be used for comparative analysis.","2014-12-08T22:12:41.754Z","2015-03-16T03:17:09.594Z"
"1007676.4","Lactobacillus ginsenosidimutans strain EMML 3041",,1007676,"131567;2;1783272;1239;91061;186826;33958;2767879;1007676","cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Companilactobacillus;Companilactobacillus ginsenosidimutans","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Companilactobacillus ginsenosidimutans","Complete","EMML 3041",,,,,,,,,,,,,,,,,,,,"Good","2015-07-09T00:00:00Z",,,"PRJNA285015","SAMN03734923","GCF_001050475.1",,"CP012034",,,"PacBio","340x","PacBio SMRT Analysis v. 2.3.0",,,1,,36.71,1,2590556,53,6,,2614,96.7,95.9,,100,,"kimchi",,"Oct-2010",2010,,"South Korea","Asia","South Korea",,,,,,,,,,,"sample_type:Bacterial","Lactobacillus ginsenosidimutans genome sequencing","2016-01-17T16:12:35.078Z","2016-01-17T16:12:35.078Z"
"1008459.4","Taylorella asinigenitalis MCE3",,1008459,"131567;2;1224;28216;80840;506;29574;84590;1008459","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Taylorella;Taylorella asinigenitalis;Taylorella asinigenitalis MCE3","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Taylorella","Taylorella asinigenitalis","Complete","MCE3",,,,"MLST.Taylorella_spp.21",,,,,,,,,,,,,,,,"Good","2011-09-28T00:00:00Z","22235352",,"PRJNA73771","SAMN02602982","GCA_000226625.1",,"CP003059.1",,,,,,,,1,,38.3,1,1638559,38,9,,1531,98.4,98.2,1.3,98.7,,"donkey jack; genital tract","genital tract of a 6-year-old donkey jack","2004",2004,,"France","Europe","France: stud farm in the Loir-et-Cher",,"Donkey","Donkey","male","6",,"Nonhuman Mammal",,,,,"-","2014-12-08T22:13:40.452Z","2015-03-16T03:17:09.594Z"
"100901.6","Wolbachia endosymbiont of Onchocerca ochengi strain wOo",,100901,"131567;2;1224;28211;766;942;952;953;2640676;100901","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Onchocerca ochengi","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Onchocerca ochengi","Complete","wOo",,,,,,,,,,,,,,,,,,,,"Good","2012-07-30T00:00:00Z",,,"PRJNA81837","SAMEA2272360","GCA_000306885.1",,"HE660029.1",,"complete",,,,,,1,,32.1,1,957990,34,2,,886,97.8,97.6,0.6,96,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:13:49.255Z","2015-03-16T03:17:09.594Z"
"1009858.3","Buchnera aphidicola str. G002 (Myzus persicae)",,1009858,"131567;2;1224;1236;91347;1903409;32199;9;98795;1009858","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola;Buchnera aphidicola (Myzus persicae);Buchnera aphidicola str. G002 (Myzus persicae)","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera","Buchnera aphidicola","Complete","str. G002 (Myzus persicae)",,,,,,,,,,,,,,,,," ",,,"Good","2014-01-22T00:00:00Z",,,"PRJNA66105","SAMN02641631","GCA_000521565.1",,"CP002701.1,CP002702.1",,"complete",,,,,1,2,,25.4084,1,643517,32,3,,597,98.2,98,,100,,,,,,,,,,,"Green peach aphid, Myzus persicae","Green Peach Aphid",,,,"Insect",,,,,"'Buchnera aphidicola Mp is the obligate intracellular symbiont of the green peach aphid, Myzus persicae.  M. persicea is a broad generalist that feeds from plants from over 40 different families, transmits over 100 known plant viruses and has developed resistance to more classes of insecticide than any other insect.'","2014-12-08T22:10:41.063Z","2015-03-16T03:17:09.594Z"
"101510.16","Rhodococcus jostii RHA1",,101510,"131567;2;1783272;201174;1760;85007;85025;1827;132919;101510","cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii;Rhodococcus jostii RHA1","Bacteria","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus jostii","Complete","RHA1",,,,,,,,,,,,,,,,,,,,"Good","2006-07-28T00:00:00Z","17030794,20622058",,"PRJNA13693","SAMN02604146","GCA_000014565.1",,"CP000431,CP000432,CP000433,CP000434",,"complete",,,,,3,4,,67,1,7804765,52,8,,9141,99.9,99.4,3,100,,"soil contaminated with gamma-hexachlorocyclohexane (lindane: a toxic insecticide)","isolated from soil contaminated with gamma-hexachlorocyclohexane (lindane: a toxic insecticide) in Japan",,,,"Japan","Asia","Japan",,,,,,,,,,,,"Rhodococcus jostii RHA1. This strain was isolated from soil contaminated with gamma-hexachlorocyclohexane (lindane: a toxic insecticide) in Japan. This organism may be useful in the bioremediation of contaminated environmental sites.","2014-12-08T22:12:43.452Z","2015-03-16T03:17:09.594Z"
"1028307.3","Enterobacter aerogenes KCTC 2190",,1028307,"131567;2;1224;1236;91347;543;2890311;570;548;1028307","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella aerogenes;Klebsiella aerogenes KCTC 2190","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Complete","KCTC 2190",,,,,,,,,,,,,,,,,,,,"Good","2011-06-03T00:00:00Z",,,"PRJNA66537","SAMN02603581","GCA_000215745.1",,"CP002824",,"complete",,,,,,1,,54.85,1,5280350,84,25,,4907,99.6,99.1,0.4,100,,,,,,,,,,,,,,,,,,,,,"Project description not provided.","2014-12-08T22:11:10.422Z","2015-03-16T03:17:09.594Z"
"1028800.3","Neorhizobium galegae bv. orientalis str. HAMBI 540",,1028800,"131567;2;1224;28211;356;82115;227290;1525371;399;323655;1028800","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Neorhizobium;Neorhizobium galegae;Neorhizobium galegae bv. orientalis;Neorhizobium galegae bv. orientalis str. HAMBI 540","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Neorhizobium","Neorhizobium galegae","Complete","HAMBI 540",,"biovar orientalis",,,,,,,,,,,,,,,,"Yes",,"Good","2014-06-25T00:00:00Z","24948393",,"PRJEB1950","SAMEA3139073","GCA_000731315.1",,"HG938353.1,HG938354.1",,,,,,,1,2,,61.248,1,4647962,51,9,,6356,97.6,95.7,,100,,"Galega orientalis root nodule",,,,,"Finland","Europe","Finland",,,,,,,,,,,,"Whole-genome sequencing of Rhizobium galegae symbiovar orientalis strain HAMBI 540 (type strain)","2014-12-08T22:28:50.108Z","2015-03-16T03:17:09.594Z"
"1028989.3","Pseudomonas sp. StFLB209",,1028989,"131567;2;1224;1236;72274;135621;286;196821;1028989","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;unclassified Pseudomonas;Pseudomonas sp. StFLB209","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. StFLB209","Complete","StFLB209",,,,,,,,,,,,,,,,,,,,"Good","2014-09-03T00:00:00Z","25323715",,"PRJDB3085","SAMD00019511","GCA_000829415.1",,"AP014637.1",,,"Roche 454","25x","Celera Assembler v. 5.3",,,1,,60.74,1,6332373,69,19,,5612,98.1,95.1,0.4,98.9,,,,,,,,,,,,,,,,,,,,,"Complete genome sequence of N-acylhomoserine lactone-producing Pseudomonas sp. StFLB209, isolated from a potato leaf","2015-03-12T13:39:36.103Z","2015-03-16T03:17:09.594Z"
"1029718.6","Candidatus Arthromitus sp. SFB-mouse-Japan",,1029718,"131567;2;1783272;1239;186801;186802;31979;49082;2638829;49118;1029718","cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Candidatus Arthromitus;unclassified Candidatus Arthromitus;Candidatus Arthromitus sp. SFB-mouse;Candidatus Arthromitus sp. SFB-mouse-Japan","Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Candidatus Arthromitus","Candidatus Arthromitus sp. SFB-mouse","Complete","mouse isolate",,,,,,,,,,,,,,,,,,,,"Good","2011-08-02T00:00:00Z","21791478",,"PRJNA66727",,"GCA_000270205.1",,"AP012202",,"unfinished",,,,,,1,,28.26,1,1620005,38,18,,1540,99.9,99.6,0.7,95.1,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:48.380Z","2015-03-16T03:17:09.594Z"
"1029756.8","Hyphomicrobium nitrativorans NL23",,1029756,"131567;2;1224;28211;356;45401;81;1427356;1029756","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium nitrativorans;Hyphomicrobium nitrativorans NL23","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium nitrativorans","Complete","NL23",,,,,,,,,,,,,,,,,"ATCC:BAA-2475",,,"Good","2014-03-05T00:00:00Z","24435868",,"PRJNA229194","SAMN02641510","GCF_000503895.1",,"CP006912",,,"454 GS-FLX Titanium","22X","Newbler gsAssembler v. 2.5.3; CONSED v.",,,1,,63.88,1,3653837,49,1,,3635,96.2,95,0.8,98.8,,"denitrifying biofilm treating seawater",,,,,,,,,,,,,,,,,,,"The goal of this project is to characterize a denitrifying biofilm treating seawater. After identifying the more abundant bacteria in the biofilm, we aim at understanding their functions and interactions within the biofilm.","2016-01-17T15:33:54.395Z","2016-01-17T15:33:54.395Z"
"1031564.3","Campylobacter insulaenigrae NCTC 12927",,1031564,"131567;2;1224;68525;29547;213849;72294;194;260714;1031564","cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter insulaenigrae;Campylobacter insulaenigrae NCTC 12927","Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter insulaenigrae","Complete","NCTC 12927",,,,"MLST.Campylobacter_insulaenigrae.1",,,,,,,,,,,,,,,,"Good","2015-01-07T00:00:00Z","25381664",,"PRJNA66785","SAMN03248541","GCA_000816185.1",,"CP007770.1",,,"Sanger dideoxy sequencing; 454; Illumina",,"Newbler v. 2.6",,,1,,28.19,1,1465081,42,9,,1483,97.7,97.6,0.9,95.7,,,,,,,,,,,,,,,,,,,,,"National Collection of Type Cultures (NCTC), UK","2015-03-12T13:39:37.403Z","2015-03-16T03:17:09.594Z"
"1032069.3","Campylobacter ureolyticus RIGS 9880",,1032069,"131567;2;1224;68525;29547;213849;72294;194;827;1032069","cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter ureolyticus;Campylobacter ureolyticus RIGS 9880","Bacteria","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter ureolyticus","Complete","RIGS 9880",,,,,,,,,,,,,,,,,,,,"Good","2015-08-03T00:00:00Z",,,"PRJNA66811","SAMN03737995","GCF_001190755.1",,"CP012195",,,"Sanger dideoxy sequencing; 454; Illumina;","1841x","Newbler v. 2.6",,,1,,29.23,1,1641887,43,9,,1685,95.6,95.5,0.9,95.6,,,,,,,"Denmark","Europe","Denmark",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","USDA, ARS, WRRC","2016-01-17T16:42:17.303Z","2016-01-17T16:42:17.303Z"
"1032480.4","Microlunatus phosphovorus NM-1",,1032480,"131567;2;1783272;201174;1760;85009;31957;29404;29405;1032480","cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus;Microlunatus phosphovorus;Microlunatus phosphovorus NM-1","Bacteria","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus phosphovorus","Complete","NM-1",,,,,,,,,,,,,,,,,,,,"Good","2011-06-01T00:00:00Z",,,"PRJNA66879",,"GCA_000270245.1",,"AP012204",,"complete",,,,,,1,,67.27,1,5683123,45,3,,5268,97.3,95.1,5.6,99.7,,,,,,,,,,,,,,,,,,,,,"Project description not provided","2014-12-08T22:12:04.408Z","2015-03-16T03:17:09.594Z"
