id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,"DeepSecE(0.6)",T4SEfinder
23,WP_010945785.1,DUF962 domain-containing protein,LPG_RS00115,,29788,30330,-,NC_002942.5,0,0,0,0
24,WP_010945786.1,DUF4949 domain-containing protein,LPG_RS00120,,30477,30902,-,NC_002942.5,0,0,0,0
25,WP_010945787.1,lipid IV(A) palmitoyltransferase PagP,LPG_RS00125,pagP,31042,31614,-,NC_002942.5,0,0,0,0
26,WP_010945788.1,amino acid permease,LPG_RS00130,,31774,33165,+,NC_002942.5,0,0,0,0
27,WP_010945789.1,inorganic phosphate transporter,LPG_RS00135,,33175,34170,-,NC_002942.5,0,0,0,0
28,WP_011214319.1,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase",LPG_RS00140,coq7,34187,34828,-,NC_002942.5,0,0,0,0
29,WP_223804311.1,bifunctional diguanylate cyclase/phosphodiesterase,LPG_RS00145,,35063,37981,+,NC_002942.5,0,0,0,0
30,WP_016356696.1,hypothetical protein,LPG_RS00150,,38093,38983,-,NC_002942.5,1,1,1,1
31,WP_010945794.1,M20/M25/M40 family metallo-hydrolase,LPG_RS00155,,39042,40235,-,NC_002942.5,0,0,0,0
32,WP_010945795.1,hypothetical protein,LPG_RS00160,,40298,41323,-,NC_002942.5,0,1,1,1
33,WP_010945796.1,hypothetical protein,LPG_RS00165,,41587,42348,+,NC_002942.5,0,1,1,0
34,WP_010945797.1,hypothetical protein,LPG_RS00170,,42476,42832,+,NC_002942.5,0,0,0,0
35,WP_080454085.1,DUF2490 domain-containing protein,LPG_RS00175,,42891,43484,-,NC_002942.5,0,0,0,0
36,WP_010945799.1,transporter substrate-binding domain-containing protein,LPG_RS00180,,43827,44570,-,NC_002942.5,0,0,0,0
37,WP_010945800.1,Dot/Icm T4SS effector AnkQ/LegA10,LPG_RS00185,ankQ,44731,46254,-,NC_002942.5,1,1,1,1
38,WP_025862422.1,transporter suffix domain-containing protein,LPG_RS00190,,46512,46994,+,NC_002942.5,0,0,0,0
39,WP_010945802.1,metal-dependent hydrolase,LPG_RS00195,,47016,48011,-,NC_002942.5,0,0,0,0
40,WP_016356699.1,M12 family metallo-peptidase,LPG_RS00200,,48215,50431,+,NC_002942.5,1,1,1,0
41,WP_010945804.1,outer membrane beta-barrel protein,LPG_RS00205,,50444,51145,+,NC_002942.5,0,0,0,0
42,WP_010945805.1,hypothetical protein,LPG_RS00215,,51460,52320,-,NC_002942.5,0,0,0,0
43,WP_014326579.1,hypothetical protein,LPG_RS00220,,52497,52733,-,NC_002942.5,0,0,0,1
44,WP_010945806.1,sterol desaturase family protein,LPG_RS00225,,53049,53924,+,NC_002942.5,0,0,0,0
45,WP_010945807.1,lpg0045 family Dot/Icm T4SS effector,LPG_RS00230,,54060,54272,-,NC_002942.5,1,1,1,1
46,WP_010945808.1,hypothetical protein,LPG_RS00235,,54482,54880,+,NC_002942.5,1,1,1,1
47,WP_025862423.1,CatB-related O-acetyltransferase,LPG_RS00240,,55079,55741,+,NC_002942.5,0,0,0,0
48,WP_010945810.1,GNAT family N-acetyltransferase,LPG_RS00245,,55738,56616,+,NC_002942.5,0,0,0,0
49,WP_016356701.1,APC family permease,LPG_RS00250,,56669,57964,+,NC_002942.5,0,0,0,0
50,WP_010945812.1,DUF4396 domain-containing protein,LPG_RS00255,,58028,58894,+,NC_002942.5,0,0,0,0
51,WP_162839583.1,hypothetical protein,LPG_RS15200,,58955,59107,-,NC_002942.5,0,0,0,0
52,WP_010945813.1,DUF421 domain-containing protein,LPG_RS00260,,59382,59864,-,NC_002942.5,0,0,0,0
53,WP_010945814.1,methylisocitrate lyase,LPG_RS00265,prpB,60077,60970,-,NC_002942.5,0,0,0,0
54,WP_010945815.1,transferase,LPG_RS00270,,61096,61830,-,NC_002942.5,0,0,0,0
55,WP_016356703.1,DUF3865 domain-containing protein,LPG_RS00275,,61823,62524,-,NC_002942.5,0,0,0,0
56,WP_010945817.1,LysR family transcriptional regulator,LPG_RS00280,,62628,63536,+,NC_002942.5,0,0,0,0
57,WP_016356704.1,C39 family peptidase,LPG_RS00285,,63681,64400,+,NC_002942.5,0,0,0,0
58,WP_010945819.1,MerR family DNA-binding protein,LPG_RS00290,,64673,65077,-,NC_002942.5,0,0,0,0
59,WP_010945820.1,glutaredoxin family protein,LPG_RS00295,,65147,65890,+,NC_002942.5,0,0,0,0
60,WP_016356705.1,hypothetical protein,LPG_RS00300,,66090,67181,+,NC_002942.5,1,1,1,1
62,WP_015444964.1,hypothetical protein,LPG_RS00310,,67806,67988,+,NC_002942.5,0,0,0,0
63,WP_229020443.1,SAM-dependent methyltransferase,LPG_RS00315,,68042,68767,+,NC_002942.5,0,0,0,0
64,WP_010945823.1,MFS transporter,LPG_RS00320,,68797,69975,+,NC_002942.5,0,0,0,0
65,WP_015444962.1,hypothetical protein,LPG_RS00325,,69976,71247,-,NC_002942.5,0,0,0,1
66,WP_010945825.1,3-deoxy-7-phosphoheptulonate synthase,LPG_RS00330,,71489,72676,+,NC_002942.5,0,0,0,0
67,WP_010945826.1,iron-containing redox enzyme family protein,LPG_RS00335,,72782,73708,+,NC_002942.5,0,0,0,0
68,WP_223804310.1,class I SAM-dependent methyltransferase,LPG_RS00340,,73726,74535,+,NC_002942.5,0,0,0,0
69,WP_015444960.1,ATP-grasp domain-containing protein,LPG_RS00345,,74552,75856,+,NC_002942.5,0,0,0,0
70,WP_015444959.1,alpha/beta hydrolase,LPG_RS00350,,75877,76467,+,NC_002942.5,0,0,0,0
71,WP_229295665.1,DMT family transporter,LPG_RS00355,,76514,77398,+,NC_002942.5,0,0,0,0
72,WP_010945831.1,pyridoxal phosphate-dependent aminotransferase,LPG_RS00365,,77642,78820,-,NC_002942.5,0,0,0,0
73,WP_010945833.1,excinuclease ABC subunit UvrB,LPG_RS00370,uvrB,78867,80858,+,NC_002942.5,0,0,0,0
74,WP_010945834.1,bifunctional diguanylate cyclase/phosphodiesterase,LPG_RS00380,,81213,82814,+,NC_002942.5,0,0,0,0
75,WP_010945835.1,FMN-binding glutamate synthase family protein,LPG_RS00385,,82906,84477,-,NC_002942.5,0,0,0,0
76,WP_010945836.1,cell division protein ZapA,LPG_RS00390,,84555,84869,-,NC_002942.5,0,0,0,0
77,WP_010945837.1,UPF0149 family protein,LPG_RS00395,,85025,85606,+,NC_002942.5,0,0,0,1
78,WP_015444958.1,Xaa-Pro aminopeptidase,LPG_RS00400,pepP,85711,87021,+,NC_002942.5,0,0,0,0
79,WP_010945839.1,2-octaprenyl-6-methoxyphenyl hydroxylase,LPG_RS00405,ubiH,87011,88213,+,NC_002942.5,0,0,0,0
80,WP_010945840.1,UbiH/UbiF/VisC/COQ6 family ubiquinone biosynthesis hydroxylase,LPG_RS00410,,88210,89373,+,NC_002942.5,0,0,0,0
81,WP_010945841.1,Dot/Icm T4SS effector Ceg3,LPG_RS00415,ceg3,89551,90318,+,NC_002942.5,1,1,1,1
82,WP_010945842.1,lpg0081 family Dot/Icm T4SS effector,LPG_RS00420,,90308,91633,-,NC_002942.5,1,1,1,1
83,WP_015444957.1,hypothetical protein,LPG_RS00425,,91913,92371,+,NC_002942.5,0,1,0,1
84,WP_010945844.1,alpha-L-glutamate ligase-like protein,LPG_RS00430,,92368,93315,-,NC_002942.5,0,0,0,0
85,WP_010945845.1,inactive transglutaminase family protein,LPG_RS00435,,93312,94835,-,NC_002942.5,0,0,0,0
86,WP_013100957.1,RimK/LysX family protein,LPG_RS00440,,94825,95298,-,NC_002942.5,0,0,0,0
87,WP_015444956.1,hypothetical protein,LPG_RS00445,,95602,97527,+,NC_002942.5,0,1,1,1
88,WP_010945848.1,DUF4254 domain-containing protein,LPG_RS00450,,97493,98083,-,NC_002942.5,0,1,1,0
89,WP_015444955.1,transporter substrate-binding domain-containing protein,LPG_RS00455,,98310,99041,-,NC_002942.5,0,0,0,0
90,WP_010945850.1,YaiI/YqxD family protein,LPG_RS00460,,99132,99578,-,NC_002942.5,0,0,0,0
91,WP_010945851.1,Dot/Icm T4SS effector Lem1,LPG_RS00465,lem1,99689,103663,+,NC_002942.5,1,1,1,1
92,WP_010945852.1,hypothetical protein,LPG_RS00470,,103878,104342,+,NC_002942.5,0,0,0,0
93,WP_010945853.1,ribonuclease R,LPG_RS00475,rnr,104748,106928,+,NC_002942.5,0,0,0,0
94,WP_015444953.1,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,LPG_RS00480,rlmB,106921,107670,+,NC_002942.5,0,0,0,0
95,WP_010945855.1,ribose-5-phosphate isomerase RpiA,LPG_RS00485,rpiA,107663,108313,+,NC_002942.5,0,0,0,0
96,WP_010945856.1,5' nucleotidase,LPG_RS00490,,108377,109756,+,NC_002942.5,0,0,0,1
97,WP_010945857.1,Dot/Icm T4SS effector phosphotyrosine phosphatase Ceg4,LPG_RS00495,ceg4,109946,111139,+,NC_002942.5,1,1,1,1
98,WP_010945858.1,zinc ribbon domain-containing protein YjdM,LPG_RS00500,,111300,111641,+,NC_002942.5,0,0,0,0
99,WP_010945859.1,response regulator LerC,LPG_RS00505,lerC,111756,112208,+,NC_002942.5,0,0,0,0
100,WP_010945860.1,DNA polymerase I,LPG_RS00510,polA,112238,114928,-,NC_002942.5,0,0,0,0
101,WP_011212755.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,LPG_RS00515,lpxD,114931,115986,-,NC_002942.5,0,0,0,0
102,WP_010945862.1,outer membrane beta-barrel protein,LPG_RS00520,,116250,117032,+,NC_002942.5,0,0,0,0
103,WP_010945863.1,beta-ketoacyl-[acyl-carrier-protein,LPG_RS00525,,117029,118258,-,NC_002942.5,0,0,0,0
104,WP_010945864.1,Dot/Icm T4SS effector N-acetyltransferase VipF,LPG_RS00530,vipF,118383,119243,-,NC_002942.5,1,0,0,0
105,WP_010945865.1,peptide-methionine (S)-S-oxide reductase MsrA,LPG_RS00535,msrA,119362,119937,-,NC_002942.5,0,0,0,0
106,WP_010945866.1,CDP-alcohol phosphatidyltransferase family protein,LPG_RS00540,,120045,120641,-,NC_002942.5,0,0,0,0
107,WP_010945867.1,NCS2 family permease,LPG_RS00545,,120944,122224,-,NC_002942.5,0,0,0,0
108,WP_010945868.1,RMD1 family protein,LPG_RS00550,,122242,123048,-,NC_002942.5,1,1,1,1
109,WP_010945870.1,hypothetical protein,LPG_RS00555,,123147,123416,-,NC_002942.5,0,0,0,0
110,WP_010945871.1,2-oxo acid dehydrogenase subunit E2,LPG_RS00560,,124044,125846,+,NC_002942.5,0,0,0,1
111,WP_223804308.1,squalene/phytoene synthase family protein,LPG_RS00565,,125852,126883,+,NC_002942.5,0,0,0,1
112,WP_015444950.1,hypothetical protein,LPG_RS00570,,127189,130407,-,NC_002942.5,0,1,1,1
113,WP_010945874.1,HDOD domain-containing protein,LPG_RS00575,,130773,132017,-,NC_002942.5,0,0,0,0
114,WP_010945875.1,aminomethyl-transferring glycine dehydrogenase subunit GcvPB,LPG_RS00580,gcvPB,132222,133676,-,NC_002942.5,0,0,0,0
115,WP_010945876.1,YciI family protein,LPG_RS00585,,133670,133978,-,NC_002942.5,0,0,0,0
116,WP_010945877.1,aminomethyl-transferring glycine dehydrogenase subunit GcvPA,LPG_RS00590,gcvPA,133978,135348,-,NC_002942.5,0,0,0,0
117,WP_010945878.1,glycine cleavage system protein GcvH,LPG_RS00595,gcvH,135351,135728,-,NC_002942.5,0,0,0,0
118,WP_010945879.1,glycine cleavage system aminomethyltransferase GcvT,LPG_RS00600,gcvT,135762,136844,-,NC_002942.5,0,0,0,0
119,WP_011945317.1,DUF3592 domain-containing protein,LPG_RS00605,,136979,137446,+,NC_002942.5,0,0,0,0
120,WP_010945881.1,DotI/IcmL family type IV secretion protein,LPG_RS00610,,137421,137951,-,NC_002942.5,0,0,0,0
121,WP_010945882.1,ABC transporter permease subunit,LPG_RS00615,,138448,140187,+,NC_002942.5,0,0,0,0
122,WP_010945883.1,nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein,LPG_RS00620,,140195,141493,+,NC_002942.5,0,0,0,0
123,WP_015444948.1,thiol:disulfide interchange protein DsbA/DsbL,LPG_RS00625,,141570,142184,-,NC_002942.5,0,0,0,0
124,WP_010945885.1,cytochrome c4,LPG_RS00630,,142195,142797,-,NC_002942.5,0,0,0,0
125,WP_010945886.1,ribosome biogenesis GTP-binding protein YihA/YsxC,LPG_RS00635,yihA,142872,143474,+,NC_002942.5,0,0,0,0
126,WP_010945887.1,Dot/Icm T4SS effector CegC2,LPG_RS00640,cegC2,143588,146896,+,NC_002942.5,1,1,1,1
127,WP_010945888.1,acetate--CoA ligase,LPG_RS00645,acs,146993,148876,-,NC_002942.5,0,0,0,0
128,WP_015444947.1,3-hydroxyisobutyrate dehydrogenase,LPG_RS00650,mmsB,148878,149774,-,NC_002942.5,0,0,0,0
129,WP_015444946.1,CoA-acylating methylmalonate-semialdehyde dehydrogenase,LPG_RS00655,,149798,151297,-,NC_002942.5,0,0,0,0
130,WP_014840774.1,dodecin domain-containing protein,LPG_RS00660,,151408,151584,-,NC_002942.5,0,1,0,0
131,WP_010945891.1,hypothetical protein,LPG_RS00665,,151762,154230,+,NC_002942.5,1,1,1,1
132,WP_010945892.1,4-hydroxy-tetrahydrodipicolinate reductase,LPG_RS00670,dapB,154334,155065,-,NC_002942.5,0,0,0,0
133,WP_010945893.1,hypothetical protein,LPG_RS00675,,155245,155430,-,NC_002942.5,0,0,0,0
134,WP_010945894.1,ProQ/FINO family protein,LPG_RS00680,,155787,156479,+,NC_002942.5,0,0,0,1
135,WP_010945895.1,hypothetical protein,LPG_RS00685,,156480,157550,+,NC_002942.5,0,0,0,0
136,WP_010945896.1,Dot/Icm T4SS effector SdhB,LPG_RS00690,sdhB,157650,163277,-,NC_002942.5,1,1,1,1
137,WP_010945897.1,pyruvate kinase,LPG_RS00695,pyk,163368,164792,-,NC_002942.5,0,0,0,0
138,WP_010945898.1,phosphoglycerate kinase,LPG_RS00700,,164776,165966,-,NC_002942.5,0,0,0,0
139,WP_015444943.1,type I glyceraldehyde-3-phosphate dehydrogenase,LPG_RS00705,gap,165977,166969,-,NC_002942.5,0,0,0,0
140,WP_015444942.1,transketolase,LPG_RS00710,tkt,167051,169057,-,NC_002942.5,0,0,0,0
141,WP_010945901.1,hypothetical protein,LPG_RS00715,,169315,170649,+,NC_002942.5,1,1,1,1
142,WP_015444939.1,M3 family metallopeptidase,LPG_RS00720,,170748,172763,+,NC_002942.5,0,0,0,0
143,WP_015444229.1,IS4 family transposase,LPG_RS00730,,173431,174849,+,NC_002942.5,0,0,0,1
144,WP_010945905.1,ISL3 family transposase,LPG_RS00735,,174882,176057,-,NC_002942.5,0,0,0,0
145,WP_223804307.1,site specific recombinase,LPG_RS00740,,176091,176552,-,NC_002942.5,0,0,0,0
146,WP_102990622.1,IS3 family transposase,LPG_RS00745,,176652,177562,-,NC_002942.5,0,0,0,0
147,WP_015444936.1,hypothetical protein,LPG_RS00750,,177864,178193,+,NC_002942.5,0,0,0,0
148,WP_010945909.1,hypothetical protein,LPG_RS00755,,178308,179678,+,NC_002942.5,0,0,0,0
149,WP_010945910.1,hypothetical protein,LPG_RS00760,,179810,181150,-,NC_002942.5,0,1,1,0
150,WP_015444935.1,P-loop NTPase fold protein,LPG_RS00765,,181180,182538,-,NC_002942.5,0,0,0,0
151,WP_010945912.1,PIN domain-containing protein,LPG_RS00770,,182740,183804,+,NC_002942.5,0,1,0,1
152,WP_010945913.1,GNAT family N-acetyltransferase,LPG_RS00775,,184405,184920,+,NC_002942.5,0,0,0,1
153,WP_014326585.1,hypothetical protein,LPG_RS00780,,185369,185593,-,NC_002942.5,0,1,1,1
154,WP_010945914.1,hypothetical protein,LPG_RS00785,,185908,186222,-,NC_002942.5,0,0,0,0
155,WP_223804306.1,hypothetical protein,LPG_RS15290,,186470,186673,+,NC_002942.5,0,0,0,0
156,WP_015444932.1,hypothetical protein,LPG_RS00795,,187143,187889,+,NC_002942.5,0,1,1,0
157,WP_010945916.1,diguanylate cyclase,LPG_RS00800,,188236,189114,-,NC_002942.5,0,0,0,0
158,WP_015444931.1,EAL domain-containing protein,LPG_RS00805,,189144,190226,-,NC_002942.5,0,0,0,0
159,WP_015444930.1,type I methionyl aminopeptidase,LPG_RS00810,map,190331,191092,-,NC_002942.5,0,0,0,0
160,WP_010945919.1,ParD-like family protein,LPG_RS00815,,191073,191285,-,NC_002942.5,0,0,0,0
161,WP_010945920.1,hypothetical protein,LPG_RS00820,,191460,191939,-,NC_002942.5,0,0,0,0
162,WP_010945921.1,hypothetical protein,LPG_RS00825,,192160,193137,+,NC_002942.5,1,1,0,1
163,WP_025862454.1,secondary thiamine-phosphate synthase enzyme YjbQ,LPG_RS00830,,193391,193810,-,NC_002942.5,0,0,0,0
164,WP_010945923.1,protein SapA,LPG_RS00835,,194022,194303,+,NC_002942.5,0,0,0,0
165,WP_015444927.1,alpha/beta hydrolase,LPG_RS00840,,194806,195582,+,NC_002942.5,0,0,0,0
166,WP_010945926.1,PepSY domain-containing protein,LPG_RS00845,,195663,196118,-,NC_002942.5,0,0,0,0
167,WP_010945927.1,DUF808 domain-containing protein,LPG_RS00850,,196286,197170,-,NC_002942.5,0,0,0,0
168,WP_010945928.1,peptide chain release factor-like protein,LPG_RS00855,,197445,197855,-,NC_002942.5,0,0,0,1
169,WP_010945929.1,PqiC family protein,LPG_RS00860,,197956,198681,-,NC_002942.5,0,0,0,0
170,WP_016356712.1,MlaD family protein,LPG_RS00865,,198678,199424,-,NC_002942.5,0,0,0,0
171,WP_010945931.1,ABC transporter permease,LPG_RS00870,,199432,200187,-,NC_002942.5,1,0,0,0
172,WP_010945932.1,Dot/Icm type IV secretion system effector LegU1,LPG_RS00875,legU1,200453,201019,-,NC_002942.5,1,1,1,1
173,WP_010945933.1,lpg0172 family Dot/Icm T4SS effector,LPG_RS00880,,201209,201934,+,NC_002942.5,1,1,1,1
174,WP_010945934.1,LysR family transcriptional regulator,LPG_RS00885,,202064,202924,-,NC_002942.5,0,0,0,0
175,WP_015444924.1,pyoverdine biosynthesis protein PvcA,LPG_RS00890,,203035,204084,+,NC_002942.5,0,0,0,0
176,WP_010945936.1,TauD/TfdA family dioxygenase,LPG_RS00895,,204074,204910,+,NC_002942.5,0,0,0,0
177,WP_010945937.1,FAD-binding protein,LPG_RS00900,,204907,206349,+,NC_002942.5,0,0,0,0
178,WP_010945938.1,MFS transporter,LPG_RS00905,,206346,207494,+,NC_002942.5,0,0,0,0
179,WP_010945939.1,ATP-grasp domain-containing protein,LPG_RS00910,,207491,208723,+,NC_002942.5,0,0,0,0
180,WP_010945940.1,class I SAM-dependent methyltransferase,LPG_RS00915,,208880,209854,+,NC_002942.5,0,0,0,0
181,WP_010945941.1,zinc metalloprotease HtpX,LPG_RS00920,htpX,209967,210809,-,NC_002942.5,0,0,0,0
182,WP_010945942.1,lpg0181 family Dot/Icm T4SS effector,LPG_RS00925,,211023,211934,+,NC_002942.5,1,1,1,1
183,WP_015444922.1,hypothetical protein,LPG_RS00930,,211981,212412,-,NC_002942.5,0,1,1,1
184,WP_010945944.1,FAD-dependent oxidoreductase,LPG_RS00935,,212762,214258,+,NC_002942.5,0,1,1,0
185,WP_010945945.1,sugar ABC transporter substrate-binding protein,LPG_RS00940,,214503,215387,-,NC_002942.5,0,0,0,0
186,WP_010945946.1,ATP-binding cassette domain-containing protein,LPG_RS00945,,215391,216131,-,NC_002942.5,0,0,0,0
187,WP_010945947.1,ABC transporter permease,LPG_RS00950,,216128,217069,-,NC_002942.5,0,0,0,0
188,WP_015444920.1,M20/M25/M40 family metallo-hydrolase,LPG_RS00955,,217246,218655,+,NC_002942.5,0,0,0,0
189,WP_025862451.1,CoA transferase,LPG_RS00960,,218790,219851,+,NC_002942.5,0,0,0,0
190,WP_010945950.1,Lpg0189 family type II secretion system effector,LPG_RS00965,,219993,220859,-,NC_002942.5,0,0,0,0
191,WP_010945952.1,Dot/Icm T4SS effector Ceg5,LPG_RS00970,ceg5,221236,222189,+,NC_002942.5,1,1,1,1
192,WP_015444919.1,Hsp20/alpha crystallin family protein,LPG_RS00975,,222394,222963,-,NC_002942.5,0,0,0,0
193,WP_010945955.1,catalase/peroxidase HPI,LPG_RS00980,katG,223447,225696,-,NC_002942.5,0,0,0,0
194,WP_010945956.1,Dot/Icm T4SS effector RavE,LPG_RS00985,ravE,225828,226832,-,NC_002942.5,1,1,1,1
195,WP_010945957.1,Dot/Icm T4SS effector RavF,LPG_RS00990,ravF,227034,228308,-,NC_002942.5,1,1,1,1
196,WP_010945958.1,YbjQ family protein,LPG_RS00995,,228667,228984,+,NC_002942.5,0,0,0,0
197,WP_010945959.1,hypothetical protein,LPG_RS01000,,229092,230123,+,NC_002942.5,0,0,0,0
198,WP_010945960.1,cytochrome ubiquinol oxidase subunit I,LPG_RS01005,,230239,231609,+,NC_002942.5,0,0,0,0
199,WP_010945961.1,cytochrome d ubiquinol oxidase subunit II,LPG_RS01010,cydB,231609,232598,+,NC_002942.5,0,0,0,0
200,WP_016356715.1,DUF1295 domain-containing protein,LPG_RS01015,,232599,233375,-,NC_002942.5,0,0,0,0
201,WP_010945963.1,DUF2878 domain-containing protein,LPG_RS01020,,233381,233917,-,NC_002942.5,0,0,0,0
202,WP_010945964.1,DegV family EDD domain-containing protein,LPG_RS01025,,233907,235694,-,NC_002942.5,0,0,0,0
203,WP_010945965.1,SDR family oxidoreductase,LPG_RS01030,,235777,236475,+,NC_002942.5,0,0,0,0
204,WP_010945966.1,cryptochrome/photolyase family protein,LPG_RS01035,,236492,238030,+,NC_002942.5,0,0,0,0
205,WP_010945967.1,DUF2177 family protein,LPG_RS01040,,238035,238448,-,NC_002942.5,0,0,0,0
206,WP_015444913.1,protein kinase,LPG_RS01045,,238812,241697,+,NC_002942.5,1,1,1,1
207,WP_010945970.1,hypothetical protein,LPG_RS01050,,241716,243683,+,NC_002942.5,1,1,1,1
208,WP_010945971.1,Dot/Icm T4SS effector RavG,LPG_RS01055,ravG,243721,244344,+,NC_002942.5,1,1,1,0
209,WP_014326606.1,tryptophan-rich sensory protein,LPG_RS01060,,244591,245064,-,NC_002942.5,0,0,0,0
210,WP_010945973.1,DNA photolyase family protein,LPG_RS01065,,245097,246512,-,NC_002942.5,0,0,0,0
211,WP_010945974.1,LrgB family protein,LPG_RS01070,,246607,247314,-,NC_002942.5,0,0,0,0
212,WP_014843191.1,CidA/LrgA family protein,LPG_RS01075,,247292,247681,-,NC_002942.5,0,0,0,0
213,WP_010945976.1,LysR family transcriptional regulator,LPG_RS01080,,247787,248671,+,NC_002942.5,0,0,0,0
214,WP_010945977.1,DNA gyrase inhibitor YacG,LPG_RS01085,,248791,249003,+,NC_002942.5,0,0,0,0
215,WP_010945978.1,5-(carboxyamino)imidazole ribonucleotide synthase,LPG_RS01090,,249089,250168,-,NC_002942.5,0,0,0,0
216,WP_010945979.1,5-(carboxyamino)imidazole ribonucleotide mutase,LPG_RS01095,purE,250165,250665,-,NC_002942.5,0,0,0,0
217,WP_015444911.1,hypothetical protein,LPG_RS01100,,250725,251564,-,NC_002942.5,0,0,0,0
218,WP_010945981.1,hypothetical protein,LPG_RS01105,,251589,251942,-,NC_002942.5,0,0,0,0
219,WP_010945982.1,DUF2309 domain-containing protein,LPG_RS01110,,251956,254244,-,NC_002942.5,0,0,0,0
220,WP_010945983.1,oxidoreductase,LPG_RS01115,,254259,255779,-,NC_002942.5,0,0,0,0
221,WP_010945984.1,LysR substrate-binding domain-containing protein,LPG_RS01120,,255881,256732,+,NC_002942.5,0,0,0,0
222,WP_010945985.1,ABC transporter transmembrane domain-containing protein,LPG_RS01125,,256774,258363,+,NC_002942.5,0,0,0,0
223,WP_010945986.1,HlyD family efflux transporter periplasmic adaptor subunit,LPG_RS01130,,258360,259346,+,NC_002942.5,0,0,0,0
224,WP_010945987.1,TolC family protein,LPG_RS01135,,259343,260740,+,NC_002942.5,0,0,0,0
225,WP_010945988.1,Dot/Icm T4SS effector Ceg7,LPG_RS01140,ceg7,260923,262029,+,NC_002942.5,1,1,1,1
226,WP_010945989.1,APC family permease,LPG_RS01145,,262200,263765,-,NC_002942.5,0,0,0,0
227,WP_010945990.1,biliverdin-producing heme oxygenase,LPG_RS01150,,263913,264746,-,NC_002942.5,0,1,1,1
228,WP_010945991.1,diguanylate cyclase,LPG_RS01155,,264958,267087,-,NC_002942.5,0,0,0,0
229,WP_010945992.1,HAD-IC family P-type ATPase,LPG_RS01160,,267234,269792,-,NC_002942.5,0,0,0,0
230,WP_025862461.1,transcriptional repressor,LPG_RS01165,,270123,270569,+,NC_002942.5,0,0,0,0
231,WP_010945994.1,thiamine pyrophosphate-binding protein,LPG_RS01170,,270686,272278,-,NC_002942.5,0,0,0,0
